bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
130021,3,s,1000,2,-9
130022,4,w,1000,1,491
130022,3,s,1000,1,365
130022,1,n,1000,1,115
130022,2,o,1000,1,122
130023,2,o,1000,1,290
130023,3,s,1000,1,280
130023,4,w,1000,1,485
130023,1,n,1000,1,400
130024,1,n,1000,2,-9
130024,2,o,1000,2,-9
130024,3,s,1000,2,-9
130024,4,w,1000,1,155
130025,2,o,1000,1,304
130025,3,s,1000,1,245
130025,4,w,1000,1,340
130025,1,n,1000,2,-9
130026,1,n,1000,1,238
130026,3,s,1000,1,303
130026,4,w,1000,1,178
130026,2,o,1000,2,-9
130027,4,w,1000,2,-9
130027,3,s,1000,1,484
130027,1,n,1000,1,269
130027,2,o,1000,1,490
130028,3,s,1000,1,343
130028,1,n,1000,1,335
130028,4,w,1000,1,500
130028,2,o,1000,1,468
130029,2,o,1000,1,413
130029,4,w,1000,1,315
130029,1,n,1000,1,339
130029,3,s,1000,1,405
130030,1,n,1000,1,105
130030,2,o,1000,1,288
130030,4,w,1000,1,78
130030,3,s,1000,1,100
130031,2,o,1000,-1,-9
130031,3,s,1000,-1,-9
130031,4,w,1000,-1,-9
130031,1,n,1000,-1,-9
130032,3,s,1000,2,-9
130032,2,o,1000,1,69
130032,4,w,1000,2,-9
130032,1,n,1000,2,-9
130033,4,w,1000,1,491
130033,1,n,1000,1,315
130033,3,s,1000,1,482
130033,2,o,1000,1,405
130034,3,s,1000,2,-9
130034,1,n,1000,1,440
130034,4,w,1000,1,348
130034,2,o,1000,1,340
130035,2,o,1000,1,255
130035,3,s,1000,1,487
130035,1,n,1000,1,210
130035,4,w,1000,1,345
130036,4,w,1000,1,430
130036,2,o,1000,2,-9
130036,3,s,1000,2,-9
130036,1,n,1000,1,327
130037,3,s,1000,2,-9
130037,4,w,1000,2,-9
130037,2,o,1000,2,-9
130037,1,n,1000,1,399
130038,2,o,1000,-1,-9
130038,1,n,1000,-1,-9
130038,3,s,1000,-1,-9
130038,4,w,1000,-1,-9
130039,4,w,1000,1,210
130039,1,n,1000,1,232
130039,2,o,1000,1,279
130039,3,s,1000,1,150
130040,3,s,1000,1,495
130040,1,n,1000,1,248
130040,2,o,1000,1,443
130040,4,w,1000,1,485
130041,1,n,1000,1,321
130041,4,w,1000,1,155
130041,3,s,1000,1,151
130041,2,o,1000,1,280
130042,2,o,1000,1,80
130042,4,w,1000,1,182
130042,1,n,1000,1,217
130042,3,s,1000,1,321
130043,3,s,1000,1,144
130043,4,w,1000,1,145
130043,2,o,1000,1,183
130043,1,n,1000,1,260
130044,2,o,1000,1,457
130044,4,w,1000,1,499
130044,1,n,1000,1,435
130044,3,s,1000,1,410
130045,3,s,1000,-1,-9
130045,2,o,1000,-1,-9
130045,4,w,1000,-1,-9
130045,1,n,1000,-1,-9
130046,3,s,1000,1,430
130046,1,n,1000,1,499
130046,2,o,1000,1,422
130046,4,w,1000,2,-9
130047,2,o,1000,1,130
130047,1,n,1000,1,94
130047,3,s,1000,1,107
130047,4,w,1000,1,85
130048,4,w,1000,1,267
130048,1,n,1000,1,268
130048,2,o,1000,1,247
130048,3,s,1000,1,264
130049,3,s,1000,1,455
130049,4,w,1000,1,368
130049,2,o,1000,1,341
130049,1,n,1000,1,375
130050,3,s,1000,1,409
130050,1,n,1000,1,387
130050,2,o,1000,1,490
130050,4,w,1000,1,364
130051,2,o,1000,1,119
130051,4,w,1000,1,183
130051,3,s,1000,1,333
130051,1,n,1000,1,280
130052,1,n,1000,1,372
130052,4,w,1000,1,498
130052,2,o,1000,2,-9
130052,3,s,1000,1,320
130053,3,s,1000,1,193
130053,2,o,1000,2,-9
130053,1,n,1000,1,132
130053,4,w,1000,1,82
130054,4,w,1000,2,-9
130054,2,o,1000,1,225
130054,1,n,1000,1,490
130054,3,s,1000,1,480
130055,2,o,1000,2,-9
130055,1,n,1000,1,220
130055,4,w,1000,1,485
130055,3,s,1000,1,390
130056,4,w,1000,1,401
130056,1,n,1000,2,-9
130056,2,o,1000,1,201
130056,3,s,1000,1,444
130057,4,w,1000,1,177
130057,2,o,1000,2,-9
130057,1,n,1000,1,399
130057,3,s,1000,1,264
130058,1,n,1000,1,433
130058,4,w,1000,1,457
130058,2,o,1000,1,397
130058,3,s,1000,1,466
130059,3,s,1000,1,304
130059,4,w,1000,1,368
130059,2,o,1000,1,290
130059,1,n,1000,1,430
130060,3,s,1000,1,445
130060,4,w,1000,1,464
130060,2,o,1000,1,383
130060,1,n,1000,2,-9
130061,1,n,1000,1,158
130061,4,w,1000,1,119
130061,2,o,1000,1,171
130061,3,s,1000,1,159
130062,3,s,1000,-1,-9
130062,2,o,1000,-1,-9
130062,1,n,1000,-1,-9
130062,4,w,1000,-1,-9
130063,1,n,1000,1,470
130063,3,s,1000,1,437
130063,2,o,1000,1,489
130063,4,w,1000,1,460
130064,2,o,1000,1,218
130064,4,w,1000,1,309
130064,1,n,1000,1,270
130064,3,s,1000,1,394
130065,4,w,1000,-1,-9
130065,2,o,1000,-1,-9
130065,3,s,1000,-1,-9
130065,1,n,1000,-1,-9
130066,3,s,1000,-1,-9
130066,2,o,1000,-1,-9
130066,4,w,1000,-1,-9
130066,1,n,1000,-1,-9
130068,1,n,1000,2,-9
130068,2,o,1000,2,-9
130068,4,w,1000,2,-9
130068,3,s,1000,2,-9
130069,1,n,1000,2,-9
130069,4,w,1000,2,-9
130069,3,s,1000,1,490
130069,2,o,1000,2,-9
130070,4,w,1000,1,431
130070,2,o,1000,1,484
130070,3,s,1000,1,392
130070,1,n,1000,2,-9
130071,4,w,1000,1,371
130071,3,s,1000,1,362
130071,2,o,1000,1,271
130071,1,n,1000,1,250
130072,2,o,1000,1,50
130072,3,s,1000,1,52
130072,4,w,1000,1,65
130072,1,n,1000,1,57
130073,3,s,1000,1,164
130073,1,n,1000,1,237
130073,4,w,1000,1,177
130073,2,o,1000,1,189
130074,3,s,1000,1,166
130074,1,n,1000,1,167
130074,2,o,1000,1,163
130074,4,w,1000,1,176
130075,1,n,1000,2,-9
130075,4,w,1000,2,-9
130075,2,o,1000,1,463
130075,3,s,1000,2,-9
130076,4,w,1000,1,440
130076,1,n,1000,1,385
130076,3,s,1000,1,500
130076,2,o,1000,1,427
130077,1,n,1000,1,264
130077,2,o,1000,1,469
130077,3,s,1000,1,144
130077,4,w,1000,1,258
130078,2,o,1000,1,339
130078,4,w,1000,2,-9
130078,3,s,1000,1,460
130078,1,n,1000,1,460
130079,1,n,1000,1,477
130079,4,w,1000,1,235
130079,3,s,1000,1,266
130079,2,o,1000,1,355
130080,1,n,1000,1,320
130080,3,s,1000,1,210
130080,2,o,1000,1,258
130080,4,w,1000,1,142
130081,4,w,1000,1,60
130081,2,o,1000,1,140
130081,3,s,1000,1,143
130081,1,n,1000,1,166
130082,4,w,1000,1,442
130082,3,s,1000,1,382
130082,1,n,1000,2,-9
130082,2,o,1000,1,485
130083,1,n,1000,1,458
130083,2,o,1000,1,488
130083,3,s,1000,1,266
130083,4,w,1000,1,480
130084,2,o,1000,1,148
130084,1,n,1000,1,191
130084,4,w,1000,1,309
130084,3,s,1000,1,100
130085,3,s,1000,-1,-9
130085,1,n,1000,-1,-9
130085,2,o,1000,-1,-9
130085,4,w,1000,-1,-9
130086,4,w,1000,-1,-9
130086,3,s,1000,-1,-9
130086,2,o,1000,-1,-9
130086,1,n,1000,-1,-9
130087,4,w,1000,-1,-9
130087,3,s,1000,-1,-9
130087,1,n,1000,-1,-9
130087,2,o,1000,-1,-9
130088,4,w,1000,1,376
130088,2,o,1000,1,445
130088,3,s,1000,1,310
130088,1,n,1000,1,419
