bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
130030,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130031,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130032,Heinkele;Martin,2006-03-28,vbn,-2,-9,-9,moa,mom
130033,Heinkele;Martin,2006-03-27,vgn,-2,-9,-9,gmo,-2
130034,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130035,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130036,Heinkele;Martin,2005-10-30,vb,-2,-9,-9,mom,moa
130037,Heinkele;Martin,2006-03-30,vbn,-2,-9,-9,mrr,mor
130038,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130039,Heinkele;Martin,2005-10-15,vn,-2,-9,-9,moa,-2
130040,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130041,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130042,Heinkele;Martin,2005-11-27,vgn,-2,-9,-9,gmo,-2
130043,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130044,Heinkele;Martin,2005-10-29,vg,-2,-9,-9,gmo,moa
130045,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130046,Heinkele;Martin,2005-11-13,vgn,-2,-9,-9,gmo,-2
130047,Heinkele;Martin;Just,2005-11-14,vn,vg,-9,-9,moa,gmo
130048,Heinkele;Martin,2005-10-16,vgn,-2,-9,-9,mom,-2
130049,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130050,Heinkele;Martin,2005-11-12,vb,-2,-9,-9,muo,moa
130051,Heinkele;Martin,2005-11-18,vgn,-2,-9,-9,gmo,moa
130052,Heinkele;Martin,2005-10-29,vg,-2,-9,-9,gmo,-2
130053,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130054,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130055,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130056,Heinkele;Martin,2005-11-11,vb,-2,-9,-9,muo,moa
130057,Heinkele;Martin,2005-11-11,vb,-2,-9,-9,muo,-2
130058,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130059,Heinkele/Wellbrock/Evers,2005-10-20,vbn,vw,-9,-9,moa,gmo
130060,Heinkele;Martin,2005-10-18,vn,-2,-9,-9,gmo,moa
130061,Heinkele;Martin,2005-10-17,vw,-2,-9,-9,gmo,-2
130062,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130063,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130064,Heinkele;Martin,2005-10-21,vg,-2,-9,-9,gmo,-2
130065,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130066,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130068,Heinkele;Martin,2005-10-19,vn,vg,-9,-9,roa,gmo
130069,"Martin, Just",2006-08-28,vbg,-2,-9,-9,muf,-2
130070,"Martin, Just",2007-04-13,vb,-2,-9,-9,muf,-2
130071,Martin; Just,2007-04-24,vbn,-2,-9,-9,muo,-2
130072,Martin; Just,2006-07-21,vb,-2,-9,-9,mut,-2
130073,Martin; Just,2007-03-28,vn,-2,-9,-9,mom,mor
130074,"Martin, Just",2006-08-24,vb,vbg,-9,-9,mom,gmo
130075,"Martin, Just",2007-07-18,-9,-9,-9,-9,-9,-9
130076,"Martin, Just",2006-06-13,vbn,-2,-9,-9,mra,mrr
130077,"Martin, Just",2006-05-31,vn,-2,-9,-9,mom,-2
130078,"Martin, Just",2006-05-18,vn,-2,-9,-9,muo,-2
130079,"Martin, Just",2006-07-13,vbn,vn,-9,-9,mra,mom
130080,"Martin, Just",2007-06-06,vbn,-2,-9,-9,mor,moa
130081,"Martin, Just",2007-05-08,vbn,-2,-9,-9,mrr,mom
130082,"Martin, Just",2006-06-07,vn,-2,-9,-9,mra,-2
130083,"Martin, Just",2006-05-11,vbn,-2,-9,-9,mom,-2
130084,"Martin, Just",2007-04-11,vn,-2,-9,-9,mom,-2
130085,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130086,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130087,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130088,"Martin, Just",2007-07-11,vbn,-2,-9,-9,mom,mra
