bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
130078,KF,2012-07-05,-9,,,,,,,,,,,,,,,,,1,1,1,2,-9,1,1,1,1,
130079,KF,2012-06-03,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,2,1,1,1,
130080,KF,2012-06-25,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,1,1,1,1,
130081,KF,2012-07-10,-9,,,,,,,,,,,,,,,,,1,2,6,5,4,1,1,1,1,
130082,KF,2012-07-13,-9,,,,,,,,,,,,,,,,,1,3,1,1,-9,1,1,1,1,
130083,KF,2012-07-05,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
130084,KF,2012-06-27,-9,,,,,,,,,,,,,,,,,1,3,2,2,6,2,1,1,1,
130085,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130086,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130087,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130088,KF,2012-06-14,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,2,1,1,1,
