bund_nr,bnr,hori,azi,kraft,alter,bhd,oberhoehe
130064,gki3,3000,225,,,,
130068,gki1,1800,0,,,,
130068,gki2,2200,240,,,,
130068,gki3,2700,150,,,,
130069,rer1,1400,0,,,,
130069,rer2,3000,140,,,,
130069,rer3,3000,220,,,,
130070,rer1,-900,-9,,,,
130070,rer2,-900,-9,,,,
130070,rer3,-900,-9,,,,
130071,gfi1,1700,360,,,,
130071,gfi2,1200,260,,,,
130071,gfi3,1100,140,,,,
130071,gki1,2000,370,,,,
130071,gki2,1700,250,,,,
130071,gki3,1700,140,,,,
130072,bah1,-900,-9,,,,
130072,bah2,-900,-9,,,,
130072,bah3,-900,-9,,,,
130072,ges1,-900,-9,,,,
130072,ges2,-900,-9,,,,
130072,ges3,-900,-9,,,,
130073,gfi1,2000,380,,,,
130073,gfi2,2200,300,,,,
130073,gfi3,2000,220,,,,
130074,gbi1,2800,0,,,,
130074,gbi2,2800,200,,,,
130074,gbi3,2800,300,,,,
130074,tei1,2800,10,,,,
130074,tei2,2800,210,,,,
130074,tei3,2800,310,,,,
130075,rer1,2700,310,,,,
130075,rer2,2800,10,,,,
130075,rer3,2800,190,,,,
130076,gfi1,1700,225,,,,
130076,gfi2,2100,390,,,,
130076,gfi3,3100,385,,,,
130076,gki1,1500,120,,,,
130076,gki2,1300,290,,,,
130076,gki3,2000,45,,,,
130077,gki1,1200,200,,,,
130077,gki2,2000,300,,,,
130077,gki3,2000,395,,,,
130078,bah1,2800,30,,,,
130078,bah2,2500,90,,,,
130078,bah3,3000,140,,,,
130078,gfi1,1600,350,,,,
130078,gfi2,2000,35,,,,
130078,gfi3,1400,180,,,,
130079,gki1,2900,50,,,,
130079,gki2,3000,250,,,,
130079,gki3,3000,350,,,,
130080,gki1,2100,370,,,,
130080,gki2,2600,270,,,,
130080,gki3,1500,120,,,,
130081,gki1,1700,300,,,,
130081,gki2,1700,220,,,,
130081,gki3,2100,30,,,,
130082,gdg1,1500,370,,,,
130082,gdg2,2300,230,,,,
130082,gdg3,2000,110,,,,
130083,gki1,800,300,,,,
130083,gki2,2000,380,,,,
130083,gki3,2000,40,,,,
130084,gdg1,800,360,,,,
130084,gdg2,2200,10,,,,
130084,gki1,1800,220,,,,
130084,gki2,2600,180,,,,
130084,gki3,2100,300,,,,
130088,ela1,2500,160,,,,
130088,ela2,2300,140,,,,
130088,ela3,2200,110,,,,
130088,gki1,2200,300,,,,
130088,gki2,1700,0,,,,
130088,gki3,2300,230,,,,
