bund_nr,team,datum,gruendigkeit,aktuellgrundwstand,scheinbgrundwstand,bodentyp,podsoligkeit,anmerkung,team_mbp,datum_mbp,team_mbc,datum_mbc,anmerkung_mbp,anmerkung_mbc
130028,Heinkele;Martin,2005-10-14,90,-2,-2,bb,p2,,Heinkele;Martin,2005-10-14,Heinkele;Martin,2005-10-14,,
130029,Heinkele;Martin,2006-03-29,90,-2,-2,pp,p4,,Heinkele;Martin,2006-03-29,Heinkele;Martin,2006-03-29,,
130030,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130031,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130032,Heinkele;Martin,2006-03-28,90,-2,-2,bb,p1,"20 - 70 cm: Untergrenjze schwankend bei 60 - 70 cm; 70 - 90 cm: verbraunte Flecken, Sl2, 10 YR 5/8",Heinkele;Martin,2006-03-28,Heinkele;Martin,2006-03-28,,
130033,Heinkele;Martin,2006-03-27,110,-2,-2,bb-pp,p3,"22 - 90 cm: fleckig, Mn- oder Humusbän der, 0,5 cm dick, in 50 und 70 cm.   90 - 110 cm: Rostflecken 10 YR 6/8",Heinkele;Martin,2006-03-27,Heinkele;Martin,2006-03-27,,
130034,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130035,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130036,Heinkele;Martin,2005-10-30,90,-2,-2,bbn,p1,,Heinkele;Martin,2005-10-30,Heinkele;Martin,2005-10-30,,
130037,Heinkele;Martin,2006-03-30,90,-2,-2,bb,p2,,Heinkele; Martin,2006-03-30,Heinkele;Martin,2006-03-30,,
130038,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130039,Heinkele;Martin,2005-10-15,90,-2,-2,bbn,p2,"verbraunte Bänder in Cv, in ca. 50, 70, 80 cm, ca. 1 cm mächtig",Heinkele; Martin,2005-10-15,Heinkele;Martin,2005-10-15,,
130040,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130041,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130042,Heinkele;Martin,2005-11-27,90,-2,-2,bbn,p2,0 - 20 cm wahrscheinlich ehemaliger Ap-Horizont,Heinkele; Martin,2005-11-27,Heinkele;Martin,2005-11-27,,
130043,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130044,Heinkele;Martin,2005-10-29,90,-2,-2,bbn,p1,Horizont 3 in Eisekeilpeseudomorphosen bis 70 cm,Heinkele; Martin,2005-10-29,Heinkele;Martin,2005-10-29,,
130045,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130046,Heinkele;Martin,2005-11-13,90,-2,-2,bbn,p2,,Heinkele;Martin,2005-11-13,Heinkele;Martin,2005-11-13,,
130047,Heinkele;Martin;Just,2005-11-14,90,-2,-2,bbn,p2,,Heinkele;Martin;Just,2005-11-14,Heinkele;Martin;Just,2005-11-14,,
130048,Heinkele;Martin,2005-10-16,90,-2,-2,bbn,p1,"Horizont 1: Untergrenze wellig, 10 - 15 cm schwankend",Heinkele; Martin,2005-10-16,Heinkele;Martin,2005-10-16,,
130049,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130050,Heinkele;Martin,2005-11-12,90,-2,-2,bbn,p1,,Heinkele;Martin,2005-11-12,Heinkele;Martin,2005-11-12,,
130051,Heinkele;Martin,2005-11-18,90,-2,-2,bbn,p2,,Heinkele;Martin,2005-11-18,Heinkele;Martin,2005-11-18,,
130052,Heinkele;Martin,2005-10-29,90,-2,-2,bbn,p1,"Horizont 1: durch Bodenbearbeitung (Pflug) ehemaliges Ahe und Bhs-Matreial im Oberboden vermengt, daher zwei Farben: 10 YR 4/2 und 10 YR 4/4",Heinkele; Martin,2005-10-29,Heinkele;Martin,2005-10-29,,
130053,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130054,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130055,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130056,Heinkele;Martin,2005-11-11,90,-2,-2,bbn,p1,"60 - 90 cm: Flecken mit 7,5 YR 5/6, Sl2",Heinkele; Martin,2005-11-11,Heinkele;Martin,2005-11-11,,
130057,Heinkele;Martin,2005-11-12,90,-2,-2,bbn,p1,,Heinkele;Martin,2005-11-12,Heinkele;Martin,2005-11-12,,
130058,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130059,Heinkele/Wellbrock/Evers,2005-10-20,90,-2,-2,pp-bb,p3,"Steinlage bei 20 cm; Flecken und  3 cm mächtige Bänder mit 10 YR 5/6 in 80 - 90 cm,",Heinkele; Martin,2005-10-20,Heinkele/Wellbrock/Evers,2005-10-20,,
130060,Heinkele;Martin,2005-10-18,90,250,-2,pp,p4,1) Mit Bohrung erreichte Endteufe  250 cm,Heinkele; Martin,2005-10-18,Heinkele;Martin,2005-10-18,,
130061,Heinkele;Martin,2005-10-17,90,-2,-2,gg-pp,p4,,Heinkele;Martin,2005-10-17,Heinkele;Martin,2005-10-17,,
130062,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130063,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130064,Heinkele;Martin,2005-10-21,90,-2,-2,pp-rq,p3,fAh-Horizont 20 - 35 cm sehr schwach ausgeprägt,Heinkele; Martin,2005-10-21,Heinkele;Martin,2005-10-21,,
130065,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130066,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130068,Heinkele;Martin,2005-10-19,90,-2,-2,bb-pp,p4,"1) Endteufe der Bohrung bei 230 cm
2) pedogene Merkmale 0-10: von Oh-Band durchzogen, bei 3-4 cm
3) pedogene Merkmale 25-90: schwach verbraunte Bänder und Flecken zwischen 40-60 cm, 10YR6/5 und 10YR7/4

BFH: Gründigkeit  '>Wp4' unzulässig
           ",Heinkele; Martin,2005-10-19,Heinkele;Martin,2005-10-19,,
130069,"Martin, Just",2006-08-28,110,90,-2,ghn,p3,25-44cm reliktischer Gr Horizont vorhanden;,"Martin, Just",2006-08-28,"Martin, Just",2006-08-28,,
130070,"Martin, Just",2007-04-13,90,29,-2,ssh,p1,ab 104 Karbonat vorhanden! Grundwasserstand am 13.04.2007 =29cm;,"Martin, Just",2007-04-13,"Martin, Just",2007-04-13,,
130071,"Martin, Just",2007-04-24,66,-2,-2,dd-bb,p1,Grundwasserstand nicht erreicht - Bohrung bis 120cm;,"Martin, Just",2007-04-26,"Martin, Just",2007-04-24,,
130072,"Martin, Just",2006-07-12,110,-2,-2,ssh,p1,"Stauwasser zum Zeitpunkt der Aufnahme nicht erreicht! Saugsaum bei 1,33m;","Martin, Just",2006-07-25,"Martin, Just",2006-07-12,,
130073,Martin; Just,2007-03-27,100,-2,-2,ssn,p3,"Stauwasser nicht erreicht! Bohrung bis 1,80m;",Martin; Just,2007-03-27,Martin;Just,2007-03-27,,
130074,"Martin, Just",2006-08-24,100,95,-2,ss-ll,p1,Karbonat mit Salzsäure vor Ort nachgewiesen; aber kein Karbonatnachweis des Labores!,"Martin, Just",2006-08-24,"Martin, Just",2006-08-24,,
130075,"Martin, Just",2007-07-18,480,10,-2,hn,p1,"Niedermoor, Gesamtmoormächtigkeit=4,80m; darunter Sand; Grube war zum Zeitpunkt der Ansprache vollständig mit Wasser gefüllt! - Ansprache erfolgte, soweit möglich,  mittels Material aus einem Spezial-Probenbohrer! Die Vererdung ist ab dem zweitem Horizont","Just, Martin",2007-07-18,"Just, Martin",2007-07-18,Niedermoor!,
130076,"Martin, Just",2006-06-13,110,-2,-2,bbn,p3,"Grundwasser tiefer als 1,1m.","Martin, Just",2006-06-30,"Martin, Just",2006-06-13,,
130077,"Martin, Just",2006-05-31,210,190,-2,gg-rq,p1,Saugsaum  bei 170cm; Grundwasser bei 190cm; bei BZE 1 ab 175cm Karbonat nachgewiesen;,"Martin, Just",2006-05-31,"Martin, Just",2006-05-31,,
130078,"Martin, Just",2006-05-17,205,-2,-2,bb-lf,p1,kein Ackerhorizont erkennbar; Grundwasserstand nicht errreicht;,"Martin, Just",2006-05-18,"Martin, Just",2006-05-17,,
130079,"Martin, Just",2006-07-13,180,-2,-2,lld,p3,Grundwasser bis 210cm nicht erreicht; Foto - bei der Übersandung über O Horizont handelt es sich um eine anthropogene Störung; Karbonatnachweis bei Profilaufnahme - kein Karbonatnachweis im Labor!,"Martin, Just",2006-07-13,"Martin, Just",2006-07-13,,
130080,"Martin, Just",2007-06-06,120,-2,-2,rn,p1,"Grundwasser nicht erreicht; C1= m. Bändern aus lehmigen Sand durchsetzt (40%) Bänderfarbe: 10YR4/6; C2= m. Bändern aus lehmigen Sand bis stellenweise sandigem Lehm durchsetzt (30%) Bänderfarbe: 7,5YR4/6;","Martin, Just",2007-06-06,"Martin, Just",2007-06-06,,
130081,"Martin, Just",2007-05-08,115,-2,-2,bbn,p2,Grundwasser nicht erreicht! Bis 200cm gebohrt!,Martin; Just,2007-05-08,"Martin, Just",2007-05-08,,
130082,"Martin, Just",2006-06-06,110,-2,-2,bb,p2,"Bohrung bis ca. 2,10 Grundwasser nicht erreicht; 2 karbonathaltige Grobsandbänder im C ( an oberer Grenze des Horizontes; Labor hat kein Karbonatgehalt bestimmt!","Martin, Just",2006-06-07,"Martin, Just",2006-06-06,,
130083,"Martin, Just",2006-05-11,210,-2,-2,bb,p2,,"Martin, Just",2006-05-11,"Martin, Just",2006-05-11,,
130084,"Martin, Just",2007-04-10,155,-2,-2,bbn,p2,"unter 1,60 Karbonat vorhanden!!!! Grundwasserspiegel nicht erreicht!","Martin, Just",2007-04-11,"Martin, Just",2007-04-10,,
130085,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130086,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130087,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130088,"Martin, Just",2007-07-11,200,-2,-2,bbn,p1,Grundwasserstand bis 2m nicht erreicht!,"Just, Martin",2007-07-11,"Just, Martin",2007-07-11,,
