id,kurz,lang,gueltig_ab,gueltig_bis
ao-gg,AO-GG,Rambla-Gley,2006-01-01,
aq-gg,AQ-GG,Paternia-Gley,2006-01-01,
az-gg,AZ-GG,Kalkpaternia-Gley,2006-01-01,
at-gg,AT-GG,Tschernitza-Gley,2006-01-01,
ab-gg,AB-GG,Vega-Gley,2006-01-01,
gg,GG,Gley,2006-01-01,
gnn,GNn,Normnassgley,2006-01-01,
gnc,GNc,Kalknassgley,2006-01-01,
gnh,GNh,Humusnassgley,2006-01-01,
gng,GNg,Hangnassgley,2006-01-01,
gnq,GNq,Qellennassgley,2006-01-01,
gn,GN,Nassgley,2006-01-01,
gmn,GMn,Normanmoorgley,2006-01-01,
gmc,GMc,Kalkanmoorgley,2006-01-01,
gmg,GMg,Hanganmoorgley,2006-01-01,
gmq,GMq,Quellenanmoorgley,2006-01-01,
gm,GM,Anmoorgley,2006-01-01,
ghn,GHn,Niedermoorgley,2006-01-01,
ghh,GHh,Hochmoorgley,2006-01-01,
ghg,GHg,Hangmoorgley,2006-01-01,
ghq,GHq,Quellenmoorgley,2006-01-01,
gh,GH,Moorgley,2006-01-01,
g,G,Gleye,2006-01-01,2006-01-01
mrn,MRn,Normrohmarsch,2006-01-01,
mrb,MRb,Brackrohmarsch,2006-01-01,
mrf,MRf,Flussrohmarsch,2006-01-01,
mr,MR,Rohmarsch,2006-01-01,
mcn,MCn,Normkalkmarsch,2006-01-01,
mcb,MCb,Brackkalkmarsch,2006-01-01,
mcf,MCf,Flusskalkmarsch,2006-01-01,
mc,MC,Kalkmarsch,2006-01-01,
mnn,MNn,Normkleimarsch,2006-01-01,
mnb,MNb,Brackkleimarsch,2006-01-01,
mnf,MNf,Flusskleimarsch,2006-01-01,
mn,MN,Kleimarsch,2006-01-01,
mhn,MHn,Normhaftnässemarsch,2006-01-01,
mhb,MHb,Brackhaftnässemarsch,2006-01-01,
mhf,MHf,Flusshaftnässemarsch,2006-01-01,
mh,MH,Haftnässemarsch,2006-01-01,
mdn,MDn,Normdwogmarsch,2006-01-01,
md,MD,Dwogmarsch,2006-01-01,
mkn,MKn,Normknickmarsch,2006-01-01,
mk,MK,Knickmarsch,2006-01-01,
mon,MOn,Normorganomarsch,2006-01-01,
mo,MO,Organomarsch,2006-01-01,
m,M,Marschen,2006-01-01,2006-01-01
üan,ÜAn,Normstrand,2006-01-01,
üab,ÜAb,Brackstrand,2006-01-01,
üaf,ÜAf,Flussstrand,2006-01-01,
üa,ÜA,Strand,2006-01-01,
ü,Ü,Strandböden,2006-01-01,2006-01-01
ia,IA,Nasstrand,2006-01-01,
iwn,IWn,Normwatt,2006-01-01,
iwb,IWb,Brackwatt,2006-01-01,
iwf,IWf,Flusswatt,2006-01-01,
iw,IW,Watt,2006-01-01,
i,I,Semisubhydrische Böden,2006-01-01,2006-01-01
jp,JP,Protopedon,2006-01-01,
jg,JG,Gyttja,2006-01-01,
js,JS,Sapropel,2006-01-01,
jd,JD,Dy,2006-01-01,
j,J,Subhydrische Böden,2006-01-01,2006-01-01
hnn,HNn,Normniedermoor,2006-01-01,
hnc,HNc,Kalkniedermoor,2006-01-01,
hnu,HNu,Übergangsmoor,2006-01-01,
hn,HN,Niedermoor,2006-01-01,
hhn,HHn,Normhochmoor,2006-01-01,
hh,HH,Hochmoor,2006-01-01,
h,H,Naturnahe Moore,2006-01-01,2006-01-01
kvn,KVn,Normerdniedermoor,2006-01-01,
kvc,KVc,Kalkerdniedermoor,2006-01-01,
kvu,KVu,Übergangserdmoor,2006-01-01,
kv,KV,Erdniedermoor,2006-01-01,
kmn,KMn,Normmulmniedermoor,2006-01-01,
kmc,KMc,Kalkmulmniedermoor,2006-01-01,
kmu,KMu,Übergangsmulmmoor,2006-01-01,
kv-km,KV-KM,Erdniedermoor-Mulmniedermoor,2006-01-01,
km,KM,Mulmniedermoor,2006-01-01,
khn,KHn,Normerdhochmoor,2006-01-01,
kh,KH,Erdhochmoor,2006-01-01,
k,K,Erd- und Mulmmoore,2006-01-01,2006-01-01
bbv,BBv,Normbraunerde,2006-01-01,
bb-yu,BB-YU,Tiefenumbruchboden aus Braunerde,2006-01-01,
lf-ll,LF-LL,Fahlerde-Parabraunerde,2006-01-01,
rn-bb,RN-BB,Ranker-Braunerde,2006-01-01,
rq-bb,RQ-BB,Regosol-Braunerde,2006-01-01,
rq-ss,RQ-SS,Regosol-Pseudogley,2006-01-01,
sbbn,sBBn,Normbraunerde,2006-01-01,
ye-hn,YE-HN,Plaggenesch-Niedermoor,2006-01-01,
yk-ll,YK-LL,Kolluvisol-Parabraunerde,2006-01-01,
