ToTraktId;ToEckId;K2_RW;K2_HW;K3_RW;K3_HW;RW_MED;HW_MED;LAT_MED;LON_MED;LAT_MEAN;LON_MEAN;AnzahlMessungen;HDOP;MaxHDOP;NumSat;MinNumSat;RTCMAlter;Hilfspunkt;UTCStartzeit;UTCStopzeit;STDDEV
30305;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;446;2,291031;39,7;4,901345;4;4434,529;FALSCH;10024000;10113600;3,399437612
30306;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;213;6,106103;103,9;4,328639;4;90,89202;FALSCH;10113900;10163800;5,498847364
30307;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;113;3,525664;7,2;4,699115;4;92,28319;FALSCH;7454900;7474600;0,514301475
30308;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;119;1,759664;3,5;4,899159;4;96,80672;FALSCH;8292800;8313900;1,363509284
30501;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;159;1,93522;4,3;5,226415;4;81,25786;FALSCH;16175200;16203300;0,944518656
30502;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;113;1,678761;3;6,176991;5;92,46017;FALSCH;12015600;12035700;0,404035428
30503;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;107;2,546729;17,1;5,280374;4;90,63551;FALSCH;9494100;9513400;1,576584581
30504;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;120;2,664167;3,8;5,841667;5;92;FALSCH;10220100;10240200;0,360689527
30505;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;1,496364;3;6,109091;5;110,7455;FALSCH;13035300;13053900;0,601570543
30506;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;1,202703;2,2;6,954955;5;92,95496;FALSCH;7201500;7221300;0,36144221
