"","plot_ID","compartiment","B_t_plot","C_t_plot","N_t_plot","plot_A_ha","MoMok_A_ha","B_t_ha","C_t_ha","N_t_ha","B_t_MA","C_t_MA","N_t_MA","N_species_plot","Nt_plot","Nt_ha","Nt_MA"
"18",23061,"f",0.0157476988650904,0.00787384943254521,0.000223673365901522,0.0231453068842044,0.25,0.680384103087331,0.340192051543666,0.00966387557618298,0.170096025771833,0.0850480128859164,0.00241596889404575,3,32,1382.56970020296,345.642425050741
"19",23061,"stem",0.021526953148945,0.0107634765744725,9.54825101364621e-05,0.0231453068842044,0.25,0.930078536294379,0.46503926814719,0.00412535079418734,0.232519634073595,0.116259817036797,0.00103133769854683,3,32,1382.56970020296,345.642425050741
"20",23061,"total",0.0329382117056958,0.0164691058528479,0.000322232037422814,0.0231453068842044,0.25,1.42310542134892,0.711552710674462,0.0139221328554828,0.355776355337231,0.177888177668615,0.0034805332138707,3,32,1382.56970020296,345.642425050741
"21",23150,"ag",0.0311870991909917,0.0155935495954959,0.000232770212814503,0.0285908493421573,0.25,1.09080702072765,0.545403510363826,0.00814142350333338,0.272701755181913,0.136350877590956,0.00203535587583335,4,29,1014.31054576051,253.577636440127
"22",23150,"bg",0.0025280101254265,0.00126400506271325,8.63317213291051e-06,0.0285908493421573,0.25,0.088420252758946,0.044210126379473,0.000301955777164719,0.0221050631897365,0.0110525315948683,7.54889442911798e-05,4,29,1014.31054576051,253.577636440127
"23",23150,"f",0.00592792493396798,0.00296396246698399,8.78240778779053e-05,0.0285908493421573,0.25,0.207336440517254,0.103668220258627,0.0030717547711466,0.0518341101293136,0.0259170550646568,0.00076793869278665,4,29,1014.31054576051,253.577636440127
"24",23150,"stem",0.0262785701307899,0.0131392850653949,0.000144946134936598,0.0285908493421573,0.25,0.919125200385077,0.459562600192539,0.00506966873218678,0.229781300096269,0.114890650048135,0.0012674171830467,4,29,1014.31054576051,253.577636440127
"25",23150,"total",0.0337987007302483,0.0168993503651241,0.000241403384947414,0.0285908493421573,0.25,1.18215098564463,0.591075492822313,0.0084433792804981,0.295537746411156,0.147768873205578,0.00211084482012452,4,29,1014.31054576051,253.577636440127
"26",23170,"ag",0.0513285480569021,0.0256642740284511,0.000386351367072235,0.0265524269488756,0.25,1.93310194038876,0.96655097019438,0.0145505104981974,0.48327548509719,0.241637742548595,0.00363762762454936,2,26,979.19486041938,244.798715104845
"27",23170,"bg",0.000500590718496174,0.000250295359248087,8.94648497876881e-07,0.0265524269488756,0.25,0.018852917643273,0.0094264588216365,3.36936619616523e-05,0.00471322941081825,0.00235661470540912,8.42341549041309e-06,2,26,979.19486041938,244.798715104845
"28",23170,"f",0.00633512949507343,0.00316756474753672,0.000108100269097962,0.0265524269488756,0.25,0.238589470833351,0.119294735416676,0.00407120107348756,0.0596473677083378,0.0298236838541689,0.00101780026837189,2,26,979.19486041938,244.798715104845
"29",23170,"stem",0.0469181509097398,0.0234590754548699,0.000278251097974272,0.0265524269488756,0.25,1.76700047043069,0.883500235215347,0.0104793094247099,0.441750117607673,0.220875058803837,0.00261982735617747,2,26,979.19486041938,244.798715104845
"30",23170,"total",0.0518350130809507,0.0259175065404754,0.000387246015570111,0.0265524269488756,0.25,1.95217609225532,0.97608804612766,0.0145842041601591,0.48804402306383,0.244022011531915,0.00364605104003977,2,26,979.19486041938,244.798715104845
"31",25080,"ag",0.0277515237880236,0.0138757618940118,0.000213668578265185,0.00769523695718859,0.25,3.6063247879715,1.80316239398575,0.0277663416284516,0.901581196992875,0.450790598496438,0.00694158540711291,4,40,5198.02057071596,1299.50514267899
"32",25080,"bg",0.000227982740787915,0.000113991370393958,9.43466693856405e-07,0.00769523695718859,0.25,0.0296264744095947,0.0148132372047974,0.000122603982061274,0.00740661860239868,0.00370330930119934,3.06509955153186e-05,4,40,5198.02057071596,1299.50514267899
"33",25080,"f",0.00631212344770106,0.00315606172385053,8.92479831636387e-05,0.00769523695718859,0.25,0.820263688151217,0.410131844075608,0.0115978213094876,0.205065922037804,0.102532961018902,0.00289945532737191,4,40,5198.02057071596,1299.50514267899
"34",25080,"stem",0.0228380728668296,0.0114190364334148,0.000124420595101546,0.00769523695718859,0.25,2.96781931393226,1.48390965696613,0.016168520318964,0.741954828483065,0.370977414241533,0.004042130079741,4,40,5198.02057071596,1299.50514267899
"35",25080,"total",0.0279808096604676,0.0139904048302338,0.000214612044959041,0.00769523695718859,0.25,3.63612060500996,1.81806030250498,0.0278889456105129,0.909030151252489,0.454515075626245,0.00697223640262823,4,40,5198.02057071596,1299.50514267899
"36",25100,"ag",0.0279558464071233,0.0139779232035616,0.000246070726932295,0.0277139365847608,0.25,1.00872881489148,0.504364407445738,0.00887895251472876,0.252182203722869,0.126091101861434,0.00221973812868219,3,19,685.575646819068,171.393911704767
"37",25100,"bg",0.000743643474619835,0.000371821737309917,3.07774550685548e-06,0.0277139365847608,0.25,0.0268328345323827,0.0134164172661914,0.00011105407192668,0.00670820863309569,0.00335410431654784,2.77635179816701e-05,3,19,685.575646819068,171.393911704767
"38",25100,"f",0.00948964473681559,0.00474482236840779,0.000134183842749338,0.0277139365847608,0.25,0.342414175185553,0.171207087592777,0.00484174604134449,0.0856035437963883,0.0428017718981941,0.00121043651033612,3,19,685.575646819068,171.393911704767
"39",25100,"stem",0.0220017886225941,0.011000894311297,0.000111886884182957,0.0277139365847608,0.25,0.793888971900597,0.396944485950298,0.00403720647338427,0.198472242975149,0.0992361214875746,0.00100930161834607,3,19,685.575646819068,171.393911704767
"40",25100,"total",0.0287022067771068,0.0143511033885534,0.000249148472439151,0.0277139365847608,0.25,1.03565968296577,0.517829841482885,0.00899000658665544,0.258914920741442,0.129457460370721,0.00224750164666386,3,19,685.575646819068,171.393911704767
"41",26010,"ag",0.00544671117044445,0.00272335558522223,3.35107073655035e-05,0.0165952432811023,0.25,0.32820917887036,0.16410458943518,0.00201929593907571,0.08205229471759,0.041026147358795,0.000504823984768928,2,12,723.098769733908,180.774692433477
"42",26010,"bg",0.000615206613361356,0.000307603306680678,2.38463573354935e-06,0.0165952432811023,0.25,0.0370712621044801,0.01853563105224,0.000143693930432754,0.00926781552612001,0.00463390776306001,3.59234826081885e-05,2,12,723.098769733908,180.774692433477
"43",26010,"f",0.000807963872103225,0.000403981936051613,1.24790110516334e-05,0.0165952432811023,0.25,0.0486864734922739,0.0243432367461369,0.00075196312824433,0.0121716183730685,0.00608580918653424,0.000187990782061083,2,12,723.098769733908,180.774692433477
"44",26010,"stem",0.00471739154588517,0.00235869577294259,2.10316963138701e-05,0.0165952432811023,0.25,0.284261668598559,0.14213083429928,0.00126733281083138,0.0710654171496398,0.0355327085748199,0.000316833202707846,2,12,723.098769733908,180.774692433477
"45",26010,"total",0.00614056203134975,0.00307028101567488,3.58953430990528e-05,0.0165952432811023,0.25,0.370019404195313,0.185009702097656,0.00216298986950847,0.0925048510488282,0.0462524255244141,0.000540747467377117,2,12,723.098769733908,180.774692433477
"46",26020,"ag",0.0438483516654907,0.0219241758327454,0.000294237113523012,0.0187016811553343,0.25,2.34462085527449,1.17231042763725,0.0157331905660838,0.586155213818623,0.293077606909311,0.00393329764152094,5,36,1924.96063327075,481.240158317688
"47",26020,"bg",0.00278193253961132,0.00139096626980566,8.53022382042133e-06,0.0187016811553343,0.25,0.148753072865742,0.0743765364328711,0.00045612069575832,0.0371882682164355,0.0185941341082178,0.00011403017393958,5,36,1924.96063327075,481.240158317688
"48",26020,"f",0.00415066501140074,0.00207533250570037,7.56909987216207e-05,0.0187016811553343,0.25,0.221940743023354,0.110970371511677,0.00404728313422408,0.0554851857558384,0.0277425928779192,0.00101182078355602,5,36,1924.96063327075,481.240158317688
"49",26020,"stem",0.0419915524251227,0.0209957762125613,0.000218546114801391,0.0187016811553343,0.25,2.24533570411906,1.12266785205953,0.0116859074318597,0.561333926029765,0.280666963014883,0.00292147685796492,5,36,1924.96063327075,481.240158317688
"50",26020,"total",0.0478958562591967,0.0239479281295983,0.000302767337343433,0.0187016811553343,0.25,2.56104549432634,1.28052274716317,0.0161893112618421,0.640261373581585,0.320130686790792,0.00404732781546052,5,36,1924.96063327075,481.240158317688
"51",26030,"ag",0.0287171422208868,0.0143585711104434,0.000166672025859982,0.0109913645534085,0.25,2.61270036867092,1.30635018433546,0.0151639066332575,0.653175092167731,0.326587546083866,0.00379097665831438,4,40,3639.22057226242,909.805143065604
"52",26030,"bg",0.00234095433021566,0.00117047716510783,7.09390345187123e-06,0.0109913645534085,0.25,0.21298122893119,0.106490614465595,0.000645406984492329,0.0532453072327976,0.0266226536163988,0.000161351746123082,4,40,3639.22057226242,909.805143065604
"53",26030,"f",0.00125980813198806,0.00062990406599403,3.47470727283558e-05,0.0109913645534085,0.25,0.114617991775861,0.0573089958879304,0.00316130654747327,0.0286544979439652,0.0143272489719826,0.000790326636868318,4,40,3639.22057226242,909.805143065604
"54",26030,"stem",0.0287171422208868,0.0143585711104434,0.000131924953131626,0.0109913645534085,0.25,2.61270036867092,1.30635018433546,0.0120026000857842,0.653175092167731,0.326587546083866,0.00300065002144606,4,40,3639.22057226242,909.805143065604
"55",26030,"total",0.0323179046830906,0.0161589523415453,0.000173765929311853,0.0109913645534085,0.25,2.94029958937798,1.47014979468899,0.0158093136177498,0.735074897344494,0.367537448672247,0.00395232840443746,4,40,3639.22057226242,909.805143065604
"56",27011,"ag",0.00160802240183676,0.000804011200918381,9.82427849761276e-06,0.00134614103613669,0.25,1.19454229435843,0.597271147179217,0.00729810490422876,0.298635573589609,0.149317786794804,0.00182452622605719,1,1,742.864211962451,185.716052990613
"57",27011,"bg",0.000677969424801753,0.000338984712400876,2.80679341867926e-06,0.00134614103613669,0.25,0.50363922248999,0.251819611244995,0.00208506638110856,0.125909805622498,0.0629549028112488,0.00052126659527714,1,1,742.864211962451,185.716052990613
"58",27011,"f",0.00029005968458558,0.00014502984229279,4.10036641659088e-06,0.00134614103613669,0.25,0.215474959011744,0.107737479505872,0.00304601546681808,0.0538687397529361,0.026934369876468,0.000761503866704521,1,1,742.864211962451,185.716052990613
"59",27011,"stem",0.00131796271725118,0.000658981358625591,5.72391208102188e-06,0.00134614103613669,0.25,0.97906733534669,0.489533667673345,0.00425208943741068,0.244766833836673,0.122383416918336,0.00106302235935267,1,1,742.864211962451,185.716052990613
"60",27011,"total",0.00228599182663852,0.00114299591331926,1.2631071916292e-05,0.00134614103613669,0.25,1.69818151684842,0.849090758424212,0.00938317128533732,0.424545379212106,0.212272689606053,0.00234579282133433,1,1,742.864211962451,185.716052990613
"61",27040,"ag",0.112106576223902,0.0560532881119509,0.000679159052336906,0.00279523206353152,0.25,40.1063574243154,20.0531787121577,0.24297054301776,10.0265893560788,5.01329467803942,0.06074263575444,1,40,14310.0819863463,3577.52049658658
"62",27040,"bg",3.08568085304685e-06,1.54284042652342e-06,1.14170191562733e-08,0.00279523206353152,0.25,0.00110390864976999,0.000551954324884993,4.08446200414895e-06,0.000275977162442496,0.000137988581221248,1.02111550103724e-06,1,40,14310.0819863463,3577.52049658658
"63",27040,"f",4.63335699927396e-06,2.31667849963698e-06,1.29520148733551e-07,0.00279523206353152,0.25,0.00165759296329055,0.000828796481645274,4.63360986815219e-05,0.000414398240822637,0.000207199120411318,1.15840246703805e-05,1,40,14310.0819863463,3577.52049658658
"64",27040,"stem",0.112106576223902,0.0560532881119509,0.000679029532188173,0.00279523206353152,0.25,40.1063574243154,20.0531787121577,0.242924206919078,10.0265893560788,5.01329467803942,0.0607310517297696,1,40,14310.0819863463,3577.52049658658
"65",27040,"total",0.112114295261754,0.056057147630877,0.000679170469356063,0.00279523206353152,0.25,40.1091189259284,20.0545594629642,0.242974627479764,10.0272797314821,5.01363986574106,0.060743656869941,1,40,14310.0819863463,3577.52049658658
"66",29080,"ag",0.0107490578797448,0.00537452893987238,0.000126214821364049,0.0212927096963825,0.25,0.504823389461369,0.252411694730685,0.00592760729675905,0.126205847365342,0.0631029236826711,0.00148190182418976,1,29,1361.96850534843,340.492126337107
"67",29080,"bg",0.00170676077853346,0.000853380389266728,7.06598962312851e-06,0.0212927096963825,0.25,0.08015704919057,0.040078524595285,0.00033185018364896,0.0200392622976425,0.0100196311488212,8.29625459122399e-05,1,29,1361.96850534843,340.492126337107
"68",29080,"f",0.0073781827581087,0.00368909137905435,0.000104300095478773,0.0212927096963825,0.25,0.346512156663753,0.173256078331877,0.00489839466023871,0.0866280391659383,0.0433140195829691,0.00122459866505968,1,29,1361.96850534843,340.492126337107
"69",29080,"stem",0.0050459880002938,0.0025229940001469,2.1914725885276e-05,0.0212927096963825,0.25,0.23698195637125,0.118490978185625,0.00102921263652034,0.0592454890928125,0.0296227445464063,0.000257303159130085,1,29,1361.96850534843,340.492126337107
"70",29080,"total",0.0124558186582782,0.00622790932913911,0.000133280810987177,0.0212927096963825,0.25,0.584980438651939,0.29249021932597,0.00625945748040801,0.146245109662985,0.0731225548314924,0.001564864370102,1,29,1361.96850534843,340.492126337107
