"","plot_ID","SP_code","compartiment","mean_DBH_cm","sd_DBH_cm","mean_H_m","sd_height_m","SP_BA_plot","SP_BA_m2ha","SP_BA_m2MA","tot_BA_m2ha","BA_SP_per","dom_SP","Nt_P_SP","Nt_ha","Nt_MA","B_t_P_SP","C_t_P_SP","N_t_P_SP","B_t_P_SP_ha","C_t_P_SP_ha","N_t_P_SP_ha","B_t_P_SP_MA","C_t_P_SP_MA","N_t_P_SP_MA"
"75",29090,"BKI","f",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,0.204188797567472,0.102094398783736,0.00769560502403671,4.08096931352563,2.04048465676282,0.153806322022783,1.02024232838141,0.510121164190704,0.0384515805056958
"76",29090,"BKI","fw",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,0.352708943147461,0.176354471573731,0.00352359781907904,7.04933077004488,3.52466538502244,0.0704235234458236,1.76233269251122,0.88116634625561,0.0176058808614559
"77",29090,"BKI","stw",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,0.0103239218696202,0.00516196093481009,0.00363988872486804,0.206336531911033,0.103168265955516,0.0727477431073366,0.0515841329777581,0.0257920664888791,0.0181869357768342
"78",29090,"BKI","stwb",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,0.00148774870303697,0.000743874351518486,0.00428951129335186,0.0297345244972374,0.0148672622486187,0.0857312652150081,0.00743363112430934,0.00371681556215467,0.021432816303752
"79",29090,"BKI","sw",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,0.355083431911421,0.17754171595571,0.00362553823730717,7.0967879072457,3.54839395362285,0.0724609306079843,1.77419697681142,0.887098488405712,0.0181152326519961
"80",29090,"BKI","swb",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,0.0513442636549891,0.0256721318274945,0.00299527777267163,1.02617953040417,0.513089765202083,0.0598643844392058,0.256544882601041,0.128272441300521,0.0149660961098015
"81",29090,"BKI","total",10.2064444444444,2.86986005454504,5.8719823805286,1.48060479502516,3.57488456027084,71.4485533176278,17.862138329407,85.6377412340737,83.4311511350322,"BKI",405,8094.43315043633,2023.60828760908,1.16654182250449,0.583270911252244,0.0269191070961139,23.3148019739525,11.6574009869762,0.538012130515877,5.82870049348811,2.91435024674406,0.134503032628969
"82",29090,"GFI","ag",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.0291738057888844,0.0145869028944422,0.000387259904873368,0.583075112844289,0.291537556422145,0.00773987509096743,0.145768778211072,0.0728843891055361,0.00193496877274186
"83",29090,"GFI","bg",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.00301020147656877,0.00150510073828438,4.0414299117399e-08,0.0601626533862485,0.0300813266931242,8.07730475376603e-07,0.0150406633465621,0.00752033167328106,2.01932618844151e-07
"84",29090,"GFI","f",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.00666161344551805,0.00333080672275902,0.000118301992687696,0.133140702984676,0.0665703514923379,0.00236441375647892,0.033285175746169,0.0166425878730845,0.00059110343911973
"85",29090,"GFI","fw",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.00732867793906527,0.00366433896953264,2.1595684785912e-06,0.146472823848991,0.0732364119244955,4.31616856388789e-05,0.0366182059622478,0.0183091029811239,1.07904214097197e-05
"86",29090,"GFI","stw",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.00073945651104851,0.000369728255524255,9.34016635245396e-05,0.0147789661637952,0.00738948308189759,0.0018667494358986,0.0036947415409488,0.0018473707704744,0.00046668735897465
"87",29090,"GFI","stwb",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,6.44846835394986e-05,3.22423417697493e-05,2.55055224640354e-05,0.00128880730898152,0.000644403654490758,0.000509759868029844,0.000322201827245379,0.000161100913622689,0.000127439967007461
"88",29090,"GFI","sw",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.012760671377376,0.006380335688688,5.15001296385947e-07,0.255038028194707,0.127519014097354,1.02929470765039e-05,0.0637595070486768,0.0318797535243384,2.57323676912598e-06
"89",29090,"GFI","swb",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.00161890183233704,0.000809450916168518,0.00014737615642212,0.0323557843431383,0.0161778921715692,0.00294549739784468,0.00808894608578458,0.00404447304289229,0.00073637434946117
"90",29090,"GFI","total",11,0,7.8,0,0.0855298599939821,1.70942156564807,0.427355391412017,85.6377412340737,1.99610772191633,"BKI",9,179.876292231919,44.9690730579796,0.0321840072654531,0.0160920036327266,0.000387300319172485,0.643237766230538,0.321618883115269,0.0077406828214428,0.160809441557634,0.0804047207788172,0.0019351707053607
"91",29090,"GKI","ag",25.6,0,15.7,0,0.463246686327737,9.25856625837287,2.31464156459322,85.6377412340737,10.8113153440916,"BKI",9,179.876292231919,44.9690730579796,0.205821055877439,0.102910527938719,0.000490783848013151,4.11359204383246,2.05679602191623,0.00980893098532435,1.02839801095812,0.514199005479058,0.00245223274633109
"92",29090,"GKI","bg",25.6,0,15.7,0,0.463246686327737,9.25856625837287,2.31464156459322,85.6377412340737,10.8113153440916,"BKI",9,179.876292231919,44.9690730579796,0.0438347001943587,0.0219173500971793,9.94468696010174e-08,0.876091482451,0.4380457412255,1.98757046421134e-06,0.21902287061275,0.109511435306375,4.96892616052836e-07
"93",29090,"GKI","f",25.6,0,15.7,0,0.463246686327737,9.25856625837287,2.31464156459322,85.6377412340737,10.8113153440916,"BKI",9,179.876292231919,44.9690730579796,0.0146722992858652,0.0073361496429326,8.66959905730972e-05,0.29324431045094,0.14662215522547,0.0017327281484069,0.073311077612735,0.0366555388063675,0.000433182037101725
"94",29090,"GKI","fw",25.6,0,15.7,0,0.463246686327737,9.25856625837287,2.31464156459322,85.6377412340737,10.8113153440916,"BKI",9,179.876292231919,44.9690730579796,0.035567977878322,0.017783988939161,7.44898714195916e-05,0.710870664771051,0.355435332385526,0.00148877354219872,0.177717666192763,0.0888588330963814,0.00037219338554968
