"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_dec_type","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","N_SP_group","H_SP_group","L_m","D_m","D_h_cm","D_h_m","dec_type_BWI","SP_group_char","SP_dw_tps","S_L_DW_type"
"48",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",30,"2_2",2,4,2,11,3,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.11,20,0.2,2,"BU",15,"S"
"49",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",31,"2_3",2,4,2,17,4,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.17,20,0.2,3,"BU",15,"S"
"50",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",32,"2_3",2,4,3.4,48,4,"GFI","Picea abies",1,"NB","FI","fi",0.34,0.48,34,0.34,3,"BU",15,"S"
"51",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",33,"2_1",2,4,2,26.5,2,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.265,20,0.2,1,"BU",15,"S"
"52",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",34,"2_2",2,4,2,13.5,3,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.135,20,0.2,2,"BU",15,"S"
"53",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",35,"2_4",2,4,2.2,50.5,5,"GFI","Picea abies",1,"NB","FI","fi",0.22,0.505,22,0.22,4,"BU",15,"S"
"54",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",36,"2_1",2,4,2.7,25,2,"GFI","Picea abies",1,"NB","FI","fi",0.27,0.25,27,0.27,1,"BU",15,"S"
"55",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",37,"2_2",2,4,2,15.5,3,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.155,20,0.2,2,"BU",15,"S"
"56",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",38,"2_3",2,4,4.1,51,4,"GFI","Picea abies",1,"NB","FI","fi",0.41,0.51,41,0.41,3,"BU",15,"S"
"57",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",39,"2_1",2,4,2.6,18.5,2,"GFI","Picea abies",1,"NB","FI","fi",0.26,0.185,26,0.26,1,"BU",15,"S"
"58",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",40,"2_1",2,4,2.4,24,1,"GFI","Picea abies",1,"NB","FI","fi",0.24,0.24,24,0.24,1,"BU",15,"S"
"59",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",41,"2_4",2,4,2.4,30,5,"GFI","Picea abies",1,"NB","FI","fi",0.24,0.3,24,0.24,4,"BU",15,"S"
"60",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",42,"2_3",2,4,3.2,34,4,"GFI","Picea abies",1,"NB","FI","fi",0.32,0.34,32,0.32,3,"BU",15,"S"
"61",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",43,"2_2",2,4,2.8,27.5,3,"GFI","Picea abies",1,"NB","FI","fi",0.28,0.275,28,0.28,2,"BU",15,"S"
"62",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",44,"2_1",2,2,85,16,2,"GFI","Picea abies",1,"NB","FI","fi",8.5,0.16,130,1.3,1,"BU",15,"S"
"63",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",45,"2_1",2,2,87,11.5,1,"GFI","Picea abies",1,"NB","FI","fi",8.7,0.115,130,1.3,1,"BU",15,"S"
"64",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",46,"2_2",2,2,35,10,3,"GFI","Picea abies",1,"NB","FI","fi",3.5,0.1,130,1.3,2,"BU",15,"S"
"65",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",47,"2_1",2,2,64,13,1,"GFI","Picea abies",1,"NB","FI","fi",6.4,0.13,130,1.3,1,"BU",15,"S"
"66",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",48,"2_1",2,2,97,10,1,"GFI","Picea abies",1,"NB","FI","fi",9.7,0.1,130,1.3,1,"BU",15,"S"
"67",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",49,"2_2",2,2,63,10,3,"GFI","Picea abies",1,"NB","FI","fi",6.3,0.1,130,1.3,2,"BU",15,"S"
"68",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",50,"2_2",2,2,58,11,3,"GFI","Picea abies",1,"NB","FI","fi",5.8,0.11,130,1.3,2,"BU",15,"S"
"69",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",51,"2_1",2,2,117,11,1,"GFI","Picea abies",1,"NB","FI","fi",11.7,0.11,130,1.3,1,"BU",15,"S"
