"","plot_ID","dec_type","DW_type","compartiment","D_mean","L_mean","B_t","C_t","N_t","plot_A_ha","B_t_ha","C_t_ha","N_t_ha","C_share","N_share","B_share"
"300",32010,1,5,"total",11,10.7,0.0472306866306601,0.0236153433153301,0.000131838142779835,0.0500343869018386,0.943964532298976,0.471982266149488,0.00263495069977545,63.5300197299228,85.6903879609945,63.5300197299228
"301",32010,2,1,"ag",25,0.5,0.0142353417115787,0.00711767085578937,1.15590974698019e-05,0.0500343869018386,0.284511165081462,0.142255582540731,0.000231023066046147,100,100,100
"302",32010,2,1,"bg",25,0.5,0,0,0,0.0500343869018386,0,0,0,100,100,100
"303",32010,2,1,"total",25,0.5,0.0142353417115787,0.00711767085578937,1.15590974698019e-05,0.0500343869018386,0.284511165081462,0.142255582540731,0.000231023066046147,100,100,100
"304",32010,3,1,"ag",20,6.7,0.077880081882491,0.0389400409412455,6.32386264885827e-05,0.0500343869018386,1.55653115197119,0.778265575985594,0.0012639032954006,100,100,100
"305",32010,3,1,"bg",20,6.7,0,0,0,0.0500343869018386,0,0,0,100,100,100
"306",32010,3,1,"total",20,6.7,0.077880081882491,0.0389400409412455,6.32386264885827e-05,0.0500343869018386,1.55653115197119,0.778265575985594,0.0012639032954006,100,100,100
"307",32010,4,1,"ag",11.6666666666667,1.72222222222222,0.0339400391534247,0.0169700195767123,2.75593117925808e-05,0.0500343869018386,0.678334266791574,0.339167133395787,0.000550807424634758,74.6661828737301,74.66618287373,74.6661828737301
"308",32010,4,1,"bg",11.6666666666667,1.72222222222222,0,0,0,0.0500343869018386,0,0,0,74.6661828737301,74.66618287373,74.6661828737301
"309",32010,4,1,"total",11.6666666666667,1.72222222222222,0.0339400391534247,0.0169700195767123,2.75593117925808e-05,0.0500343869018386,0.678334266791574,0.339167133395787,0.000550807424634758,74.6661828737301,74.66618287373,74.6661828737301
"310",32010,4,4,"ag",16.25,0.7,0.0115156649513661,0.00575783247568303,9.35071994050925e-06,0.0500343869018386,0.230155012670754,0.115077506335377,0.000186885870288652,25.33381712627,25.33381712627,25.33381712627
"311",32010,4,4,"bg",16.25,0.7,0,0,0,0.0500343869018386,0,0,0,25.33381712627,25.33381712627,25.33381712627
"312",32010,4,4,"total",16.25,0.7,0.0115156649513661,0.00575783247568303,9.35071994050925e-06,0.0500343869018386,0.230155012670754,0.115077506335377,0.000186885870288652,25.33381712627,25.33381712627,25.33381712627
"313",32010,5,1,"ag",15,1.18571428571429,0.0295380395272146,0.0147690197636073,2.39848880960983e-05,0.0500343869018386,0.590354781106136,0.295177390553068,0.000479368082258182,38.069796820718,38.069796820718,38.069796820718
"314",32010,5,1,"bg",15,1.18571428571429,0,0,0,0.0500343869018386,0,0,0,38.069796820718,38.069796820718,38.069796820718
"315",32010,5,1,"total",15,1.18571428571429,0.0295380395272146,0.0147690197636073,2.39848880960983e-05,0.0500343869018386,0.590354781106136,0.295177390553068,0.000479368082258182,38.069796820718,38.069796820718,38.069796820718
