"","plot_ID","C_layer","SP_code","mean_DBH_cm","sd_DBH_cm","d_g","mean_H_m","sd_height_m","h_g","SP_BA_plot","mean_BA_SP_plot","SP_BA_m2ha","tot_BA_m2ha","Nt_plot","Nt_ha","BA_SP_per","dom_SP"
"25",26020,1,"SER",16.5779365079365,4.26439352369549,1.71091899096678,3.94250055582329,3.70873020423723,3.94250055582329,1.44840269659045,0.0229905189934991,28.9481451912669,33.1048964803183,63,1259.13404562343,87.4436964588525,"SER"
"26",26020,2,"MBI",9.5,NA,0.95,9.9,NA,9.9,0.00708821842466197,0.00708821842466197,0.141666938750907,0.57687091402724,1,19.9862546924354,24.5578231292517,"SER"
"27",26020,2,"SER",9.56666666666667,1.15902257671425,0.961335876094649,9.46666666666667,1.33166562369588,9.46666666666667,0.0217751640801943,0.00725838802673142,0.435203975276333,0.57687091402724,3,59.9587640773062,75.4421768707483,"SER"
"28",26030,1,"SER",24.9295348837209,6.81047091354411,2.58221912405806,20.6212871764659,3.42383242293466,20.6212871764659,2.25187626464773,0.0523692154569241,45.0065725610997,45.0065725610997,43,859.408951774722,100,"SER"
"29",26030,2,"SER",11.4,NA,1.14,11.0325937965528,NA,11.0325937965528,0.0102070345315132,0.0102070345315132,0.204000391801307,0.204000391801307,1,19.9862546924354,100,"SER"
"30",27011,1,"GFI",28.4945454545455,9.34316263736117,2.99430879361417,23.3801322909657,3.89366227169656,23.3801322909657,2.32379061130671,0.0704178973123245,46.443871009466,62.0635889125254,33,659.546404850368,74.8327188666541,"GFI"
"31",27011,1,"GKI",44.16,7.07340087935075,4.46108955301281,26.5551142547289,2.26536230228299,26.5551142547289,0.781523008859245,0.156304601771849,15.6197179030593,62.0635889125254,5,99.931273462177,25.1672811333458,"GFI"
"32",27011,2,"GFI",11.6777777777778,1.30074764825636,1.17419949090623,10.7962925169902,1.6019067282234,10.7962925169902,0.0974577019014992,0.010828633544611,1.94781445194281,1.94781445194281,9,179.876292231919,100,"GFI"
"33",27040,1,"MBI",10.5866666666667,0.292631736715848,1.05893625870493,6.9,1.3856406460551,6.9,0.0264210926679923,0.00880703088933075,0.52805868731493,0.52805868731493,3,59.9587640773062,100,"MBI"
"34",29080,1,"GFI",24.1626315789474,6.18088886281762,2.49003101861889,17.1185626398143,3.14482742501869,17.1185626398143,0.925237010483394,0.0486966847622839,18.4920225423886,18.4920225423886,19,379.738839156272,100,"GFI"
"35",29080,2,"GFI",9.98,1.15195486022674,1.00330454000767,7.82,1.78941331167509,7.82,0.039529874961957,0.00790597499239139,0.790054148949797,0.790054148949797,5,99.931273462177,100,"GFI"
"36",29090,1,"BKI",11.8131818181818,3.2709346070295,1.22378085902219,7.25266228438463,0.797107960840113,7.25266228438463,0.258773544508887,0.0117624338413131,5.17191396821889,6.74849040337954,22,439.697603233579,76.6380873214085,"BKI"
"37",29090,1,"GFI",11,NA,1.1,7.8,NA,7.8,0.00950331777710912,0.00950331777710912,0.189935729516452,6.74849040337954,1,19.9862546924354,2.81449210361676,"BKI"
"38",29090,1,"GKI",25.6,NA,2.56,15.7,NA,15.7,0.0514718540364152,0.0514718540364152,1.02872958426365,6.74849040337954,1,19.9862546924354,15.243847479556,"BKI"
"39",29090,1,"MBI",15.1,NA,1.51,9.2,NA,9.2,0.0179078635236252,0.0179078635236252,0.357911121380547,6.74849040337954,1,19.9862546924354,5.30357309541866,"BKI"
"40",29090,2,"BKI",8.66956521739131,1.2414927900822,0.875417912621812,4.55133203770979,0.369840434071487,4.55133203770979,0.138435851076761,0.0060189500468157,2.7668141781842,2.7668141781842,23,459.683857926014,100,"BKI"
"41",32010,1,"SER",17.8134615384615,6.12683038184537,1.88184902934076,15.5141219669508,2.07167540326038,15.5141219669508,1.44631464488722,0.027813743170908,28.9064128581152,28.9064128581152,52,1039.28524400664,100,"SER"
"42",32010,2,"SER",9.45,1.34350288425444,0.94976312836412,8.95,3.88908729652601,8.95,0.0141693682658534,0.00708468413292668,0.283192602992257,0.283192602992257,2,39.9725093848708,100,"SER"
"43",32020,1,"SER",36.6611111111111,4.66200397315914,3.69400039102446,25.7345920289338,2.41192474951199,25.7345920289338,1.92910674990926,0.107172597217181,38.5556188325828,38.5556188325828,18,359.752584463837,100,"SER"
"44",32020,2,"SER",8.85,1.12398102000582,0.890337014843256,8.95,1.73108828967984,8.95,0.0249034049650063,0.00622585124125157,0.497725794339476,0.720013386544639,4,79.9450187697416,69.1272973031895,"SER"
"45",32020,2,"STK",11.9,NA,1.19,9.1,NA,9.1,0.0111220233918713,0.0111220233918713,0.222287592205163,0.720013386544639,1,19.9862546924354,30.8727026968105,"SER"
"46",32050,1,"MBI",8.6625,1.17631189631805,0.873952944957565,3.20782026571204,2.69024656146897,3.20782026571204,0.191962306708624,0.0059988220846445,3.83660755322596,3.83660755322596,32,639.560150157933,100,"MBI"
"47",32070,1,"MBI",21.85,1.97399763593239,2.19167743977073,7.90085816891363,8.79942805314901,7.90085816891363,0.150904832318859,0.0377262080797147,3.01602241304397,46.6852721009843,4,79.9450187697416,6.46032951574118,"SER"
"48",32070,1,"SER",26.8427027027027,5.67693170679405,2.74205621209163,21.3738519491572,2.50735967503825,21.3738519491572,2.1849641345994,0.0590530847189027,43.6692496879403,46.6852721009843,37,739.491423620109,93.5396704842588,"SER"
"49",32070,2,"MBI",13.475,3.91354485515796,1.38946932315903,10.6596090829343,5.71677635870615,10.6596090829343,0.060652373168368,0.015163093292092,1.21221377784364,2.05427641079865,4,79.9450187697416,59.0092828536332,"MBI"
"50",32070,2,"SER",16.16,3.76180807591243,1.63774601205437,16.25,1.76776695296637,16.25,0.0421320875728519,0.021066043786426,0.842062632955011,2.05427641079865,2,39.9725093848708,40.9907171463669,"MBI"
"51",32080,1,"MBI",14.6216326530612,4.38963710864329,1.52534524696836,4.91030438239489,4.71086132385614,4.91030438239489,0.895410674852341,0.0182736872418845,17.8959058019243,17.8959058019243,49,979.326479929334,100,"MBI"
"52",32080,2,"MBI",11.4666666666667,0.723417813807024,1.14818697664332,10.2433080373993,6.42037350290658,10.2433080373993,0.0310624973623691,0.0103541657874564,0.620822983667411,0.909854933054719,3,59.9587640773062,68.2331832375826,"MBI"
"53",32080,2,"STK",7.83333333333333,0.152752523165194,0.783432617821512,6.8,1.113552872566,6.8,0.0144615363826372,0.00482051212754574,0.289031949387308,0.909854933054719,3,59.9587640773062,31.7668167624174,"MBI"
"54",32090,1,"SER",11.9193939393939,2.95951953384534,1.2270504916632,4.47236031132461,4.29042452907683,4.47236031132461,0.390237219739628,0.0118253702951403,7.79938046418409,7.79938046418409,33,659.546404850368,100,"SER"
"55",33010,1,"SER",14.7909259259259,3.31509029360994,1.51511649105984,3.37556448462726,3.19091080774611,3.37556448462725,0.973589074519236,0.0180294273059118,19.4583992091139,19.4583992091139,54,1079.25775339151,100,"SER"
"56",33010,2,"SER",9.782,2.49161170507944,1.00635401325776,6.4568935981952,3.24433642948434,6.45689359819521,0.0795410733343704,0.00795410733343704,1.58972815017041,1.58972815017041,10,199.862546924354,100,"SER"
"57",33040,1,"SER",21.0405357142857,4.53141134732892,2.15144407068502,24.6239377321316,2.49300732720753,24.6239377321316,2.03581368542803,0.0363538158112148,40.6882908233102,40.6882908233102,56,1119.23026277638,100,"SER"
"58",33040,2,"SER",12.5,NA,1.25,12.7,NA,12.7,0.0122718463030851,0.0122718463030851,0.245268245759881,0.245268245759881,1,19.9862546924354,100,"SER"
"59",33050,1,"SER",24.6625,6.05616225691248,2.53771369543532,6.30364816787677,6.80632678303266,6.30364816787677,2.02318277864659,0.0505795694661646,40.4358463033798,40.4358463033798,40,799.450187697416,100,"SER"
"60",33050,2,"SER",11.95,5.35216911968543,1.29563690901425,6.45337905577019,4.14528736920857,6.45337905577019,0.105474260955297,0.0131842826194121,2.10803544294896,2.10803544294896,8,159.890037539483,100,"SER"
"61",33300,1,"SER",16.4616666666667,5.47453555546245,1.73337099318063,13.2083333333333,3.3416372556013,13.2083333333333,1.41587261207393,0.0235978768678989,28.2979906369534,28.2979906369534,60,1199.17528154612,100,"SER"
"62",34010,1,"GFI",17.2795192307692,6.01731472217018,1.82877474482444,13.5394230769231,3.51629820436017,13.5394230769231,2.73176698319048,0.0262669902229854,27.2988953432154,27.2988953432154,104,1039.28524400664,100,"GFI"
"63",34020,1,"BKI",9.82391304347826,2.40735833826166,1.01104228756585,5.56667695937989,1.83775697572304,5.56667695937989,0.553958988248915,0.00802839113404225,11.0715654283066,11.0715654283066,69,1379.05157377804,100,"BKI"
"64",34030,1,"GFI",20.65953125,6.91599168931159,2.17692400892291,15.857649655738,3.46746962239238,15.857649655738,2.38208027903411,0.037220004359908,47.6088631546033,47.6088631546033,64,1279.12030031587,100,"GFI"
"65",34030,2,"GFI",9.49090909090909,1.78294954805488,0.964195378163953,8.35063092964962,1.65834165507137,8.35063092964962,0.0803179577816767,0.00730163252560697,1.60525516060086,1.60525516060086,11,219.848801616789,100,"GFI"
"66",34040,1,"GFI",34.9678947368421,7.97768664529551,3.58196522801895,26.93946311741,2.0781857242003,26.93946311741,1.91463596939024,0.100770314178434,38.2664021275313,38.2664021275313,19,379.738839156272,100,"GFI"
"67",34040,2,"GFI",17.085,2.9910616844191,1.72154131521727,15.583294108638,4.07759363274634,15.583294108638,0.0465537614230551,0.0232768807115275,0.930435332692052,0.930435332692052,2,39.9725093848708,100,"GFI"
"68",35500,1,"MBI",25.0141666666667,3.26214780985371,2.5208398236831,10.7878010862117,9.21272567003775,10.7878010862117,0.598910089741686,0.0499091741451405,11.9699695914467,11.9699695914467,12,239.835056309225,100,"MBI"
