"","plot_ID","SP_group","DW_type","D_mean","L_mean","B_t","C_t","N_t","plot_A_ha","B_t_ha","C_t_ha","N_t_ha","C_share","N_share","B_share"
"15",23150,1,3,11,3.9,0.00822130939182923,0.00411065469591462,6.67570322616534e-06,0.0500343869018386,0.16431318341041,0.0821565917052051,0.000133422304929253,39.0951887856569,39.0951887856569,39.0951887856569
"16",23150,1,4,19,1,0.00737174716164845,0.00368587358082422,5.98585869525854e-06,0.0500343869018386,0.147333616300944,0.0736668081504718,0.000119634896436366,35.055224566929,35.055224566929,35.055224566929
"17",23150,2,1,11.6,6.74,0.10555680630227,0.052778403151135,0.00014091833641353,0.0500343869018386,2.10968521527724,1.05484260763862,0.00281642976239511,52.187494911236,26.5003181008969,52.187494911236
"18",23150,2,2,19.75,9.875,0.0967077524427092,0.0483538762213546,0.000390842587651608,0.0500343869018386,1.93282577105298,0.966412885526488,0.00781147950145554,47.812505088764,73.4996818991031,47.812505088764
"19",23170,2,1,15.1111111111111,7.50555555555556,0.508766541754514,0.254383270877257,0.000679203333242276,0.0500343869018386,10.1683376824953,5.08416884124764,0.0135747308061312,99.1852994103483,99.1852994103483,99.1852994103483
"20",23170,2,4,13.5,1.275,0.00417897010975004,0.00208948505487502,5.57892509651631e-06,0.0500343869018386,0.0835219609655391,0.0417609804827695,0.000111501817888995,0.814700589651692,0.814700589651692,0.814700589651692
"21",25100,1,4,19,0.35,0.00506220532236191,0.00253110266118096,4.11051072175787e-06,0.0500343869018386,0.101174524878127,0.0505872624390636,8.21537142010393e-05,100,100,100
"22",26010,1,1,10.125,2.7625,0.0657104158804638,0.0328552079402319,5.33568576949367e-05,0.0500343869018386,1.3133051077328,0.656652553866401,0.00106640374747904,32.4482585291403,29.4132694155242,32.4482585291403
"23",26010,1,3,14,5.4,0.0791363045486075,0.0395681522743037,8.12259773209376e-05,0.0500343869018386,1.5816383381266,0.790819169063301,0.00162340307037824,39.0780553528262,44.7762791455898,39.0780553528262
"24",26010,1,4,15.75,1.8,0.0576615769621505,0.0288307884810752,4.68212004932662e-05,0.0500343869018386,1.152438963133,0.576219481566502,0.000935780438063999,28.4736861180336,25.810451438886,28.4736861180336
"25",26020,1,1,11.875,5.525,0.522392351659443,0.261196175829721,0.000424182589547468,0.0500343869018386,10.4406665896459,5.22033329482295,0.00847782127079247,69.3664938330957,35.2490484968348,69.3664938330957
"26",26020,1,2,16,12,0.0789238255322941,0.0394619127661471,0.000329098006964844,0.0500343869018386,1.57739167838977,0.788695839194883,0.00657743658597226,10.4799946624013,27.3476372995204,10.4799946624013
"27",26020,1,3,11.8333333333333,4.68333333333333,0.033689373705657,0.0168446868528285,3.75082661120739e-05,0.0500343869018386,0.673324403309897,0.336662201654948,0.000749649759587552,4.47348382106059,3.11689051789507,4.47348382106059
"28",26020,1,4,19.4347826086957,1.18260869565217,0.118084770946439,0.0590423854732195,0.000412598484371825,0.0500343869018386,2.36007230743343,1.18003615371671,0.00824629839436811,15.6800276834425,34.2864236857498,15.6800276834425
"29",26030,1,1,9.66666666666667,3.6,0.0168413713575478,0.00842068567877391,1.36751935423288e-05,0.0500343869018386,0.336595937321837,0.168297968660919,0.000273315901105332,14.7039937672303,11.7867310168276,14.7039937672303
"30",26030,1,3,13.5,10.75,0.05410286584638,0.02705143292319,6.69502033610226e-05,0.0500343869018386,1.08131365639641,0.540656828198207,0.00133808381608374,47.2365453682569,57.7047802720821,47.2365453682569
"31",26030,1,4,21,0.24,0.0435917971834159,0.0217958985917079,3.53965393129337e-05,0.0500343869018386,0.871236761008738,0.435618380504369,0.000707444249939095,38.0594608645127,30.5084887110903,38.0594608645127
"32",27011,2,1,16.7058823529412,7.81764705882353,1.80135448940762,0.90067724470381,0.00240480824335917,0.0500343869018386,36.0023296166626,18.0011648083313,0.0480631100382446,79.4751660758141,66.7422337979801,79.4751660758141
"33",27011,2,2,14.4,1.52,0.301967405185666,0.150983702592833,0.000829500667735605,0.0500343869018386,6.03519746885455,3.01759873442727,0.016578611612909,13.322702343005,23.0216806909546,13.322702343005
"34",27011,2,3,24.5,2.45,0.098820540337974,0.049410270168987,0.000172050322385801,0.0500343869018386,1.97505248803883,0.987526244019417,0.00343864156311824,4.35992965362687,4.77502639696994,4.35992965362687
"35",27011,2,4,23.8571428571429,0.635714285714286,0.0644202894413407,0.0322101447206703,0.00019676896063742,0.0500343869018386,1.28752031213504,0.64376015606752,0.00393267456286527,2.8422019275541,5.46105911409535,2.8422019275541
"36",27040,1,4,29.5384615384615,0.269230769230769,0.0868906408518845,0.0434453204259423,7.05552003717302e-05,0.0500343869018386,1.7366184784547,0.868309239227348,0.00141013420450521,100,100,100
"37",29080,2,1,15.3333333333333,8.11428571428571,0.809774181349715,0.404887090674857,0.00108104853210187,0.0500343869018386,16.1843530318138,8.09217651590688,0.0216061112974714,75.1048322960206,54.8264554531185,75.1048322960206
"38",29080,2,2,12,8.46666666666667,0.0465587684856762,0.0232793842428381,0.000459363193851288,0.0500343869018386,0.930535405120859,0.46526770256043,0.00918094978864241,4.31822671006574,23.2970629315989,4.31822671006574
"39",29080,2,3,21.2727272727273,4.1,0.208965097825325,0.104482548912662,0.000363003712594494,0.0500343869018386,4.17642966696661,2.08821483348331,0.00725508465421318,19.3810681908055,18.4100956496218,19.3810681908055
"40",29080,2,4,12.8571428571429,0.628571428571429,0.0128938031086796,0.00644690155433978,6.83489645446893e-05,0.0500343869018386,0.257698832884185,0.128849416442093,0.0013660398133544,1.19587280310815,3.46638596566085,1.19587280310815
"41",29090,2,1,10.2307692307692,4.32307692307692,0.0921534525731414,0.0460767262865707,0.000123024859185144,0.0500343869018386,1.84180237391407,0.920901186957035,0.00245880616917528,16.9677913013136,6.36210047722538,16.9677913013136
"42",29090,2,2,14.1,7.57,0.199341618488888,0.0996708092444441,0.00134914568448072,0.0500343869018386,3.98409235792121,1.9920461789606,0.0269643692672317,36.7038552082566,69.7696421677178,36.7038552082566
"43",29090,2,3,11.6666666666667,5.11666666666667,0.24950032138617,0.124750160693085,0.000458723459343849,0.0500343869018386,4.98657696906847,2.49328848453424,0.00916816389184119,45.9393464344824,23.722398537469,45.9393464344824
"44",29090,2,4,27,0.3,0.00211272891352077,0.00105636445676038,2.82049309955023e-06,0.0500343869018386,0.0422255381616984,0.0211127690808492,5.63710934458674e-05,0.389007055947457,0.145858817587871,0.389007055947457
"45",32010,1,1,13.35,2.39,0.18270670351225,0.0913533517561252,0.000148357843251947,0.0500343869018386,3.65162271041112,1.82581135520556,0.00296511764085383,63.1102113084093,45.1533771193894,63.1102113084093
"46",32010,1,4,18.7272727272727,0.636363636363636,0.05956679582692,0.02978339791346,4.8368238211459e-05,0.0500343869018386,1.19051715260912,0.59525857630456,0.000966699927918606,20.575452347044,14.7210909291363,20.575452347044
"47",32010,1,5,11,10.7,0.0472306866306601,0.0236153433153301,0.000131838142779835,0.0500343869018386,0.943964532298976,0.471982266149488,0.00263495069977545,16.3143363445467,40.1255319514742,16.3143363445467
"48",32020,1,1,16.3333333333333,6.125,0.460197142338897,0.230098571169448,0.000373680079579184,0.0500343869018386,9.19761729551614,4.59880864775807,0.0074684652439591,94.8315963329182,85.4607660115245,94.8315963329182
"49",32020,1,4,23.3333333333333,0.366666666666667,0.0250811405693831,0.0125405702846916,6.35732906150323e-05,0.0500343869018386,0.501278063396465,0.250639031698233,0.00127059197786825,5.1684036670818,14.5392339884755,5.1684036670818
"50",32050,1,1,11.4285714285714,5.01428571428571,0.0980442372499244,0.0490221186249622,7.96119206469386e-05,0.0500343869018386,1.95953709680255,0.979768548401275,0.00159114412260367,100,100,100
"51",32070,1,1,11.85,4.015,0.465502899631728,0.232751449815864,0.000377988354500963,0.0500343869018386,9.30365951210691,4.65182975605346,0.00755457152383081,65.1360637643008,48.929522601882,65.1360637643008
