"","plot_ID","compartiment","stand_component","B_t_plot","C_t_plot","N_t_plot","Nt_plot","B_t_MA","C_t_MA","N_t_MA","Nt_MA","B_t_ha","C_t_ha","N_t_ha","Nt_ha"
"11",21030,"bg","LT",0.00128605943237168,0.000643029716185839,0.00114710471206308,162,0.00642587784124731,0.00321293892062366,0.00573158173354637,809.443315043633,0.0257035113649893,0.0128517556824946,0.0229263269341855,3237.77326017453
"12",21030,"f","LT",0.241320078383055,0.120660039191527,0.00321953027762856,162,1.20577113724055,0.602885568620276,0.0160865880296729,809.443315043633,4.82308454896221,2.4115422744811,0.0643463521186916,3237.77326017453
"13",21030,"fw","LT",1.64820984028413,0.824104920142067,0.000139384761035228,162,8.23538541362424,4.11769270681212,0.000696444833573576,809.443315043633,32.941541654497,16.4707708272485,0.0027857793342943,3237.77326017453
"14",21030,"stw","LT",0.158758264095835,0.0793791320479176,0.000100007446401234,162,0.793245775187071,0.396622887593536,0.000499693573728787,809.443315043633,3.17298310074828,1.58649155037414,0.00199877429491515,3237.77326017453
"15",21030,"stwb","LT",0.00887363803239044,0.00443681901619522,0.000108165130503651,162,0.0443376974409591,0.0221688487204796,0.000540453961771622,809.443315043633,0.177350789763837,0.0886753948819183,0.00216181584708649,3237.77326017453
"16",21030,"sw","LT",4.93656332842035,2.46828166421018,0.000142894574819931,162,24.6658529967864,12.3329264983932,0.000713981841629601,809.443315043633,98.6634119871457,49.3317059935729,0.0028559273665184,3237.77326017453
"17",21030,"swb","LT",0.346304914140719,0.173152457070359,9.84417587290563e-05,162,1.73033455381459,0.865167276907297,0.000491870515582549,809.443315043633,6.92133821525838,3.46066910762919,0.00196748206233019,3237.77326017453
"18",21030,"total","LT",7.34131612278886,3.67065806139443,0.00495552866118074,162,36.6813534519351,18.3406767259676,0.0247606144895054,809.443315043633,146.72541380774,73.3627069038702,0.0990424579580216,3237.77326017453
"19",23060,"ag","LT",28.0859141834003,14.0429570917001,0.0294192784176827,306,140.33305853483,70.1665292674152,0.146995297830868,1528.94848397131,561.332234139321,280.666117069661,0.587981191323473,6115.79393588523
"20",23060,"bg","LT",4.16169839650671,2.08084919825335,0.00266352966303413,306,20.7941910264208,10.3970955132104,0.0133084955565642,1528.94848397131,83.176764105683,41.5883820528415,0.0532339822262568,6115.79393588523
