"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","L_m","D_m","D_h_m","dec_type_BWI"
"62",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",44,2,2,85,16,2,"GFI","Picea abies",1,"NB",8.5,0.16,1.3,1
"63",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",45,2,2,87,11.5,1,"GFI","Picea abies",1,"NB",8.7,0.11,1.3,1
"64",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",46,2,2,35,10,3,"GFI","Picea abies",1,"NB",3.5,0.1,1.3,2
"65",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",47,2,2,64,13,1,"GFI","Picea abies",1,"NB",6.4,0.13,1.3,1
"66",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",48,2,2,97,10,1,"GFI","Picea abies",1,"NB",9.7,0.1,1.3,1
"67",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",49,2,2,63,10,3,"GFI","Picea abies",1,"NB",6.3,0.1,1.3,2
"68",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",50,2,2,58,11,3,"GFI","Picea abies",1,"NB",5.8,0.11,1.3,2
"69",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",51,2,2,117,11,1,"GFI","Picea abies",1,"NB",11.7,0.11,1.3,1
"70",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",52,2,2,86,15.5,2,"GFI","Picea abies",1,"NB",8.6,0.15,1.3,1
"71",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",53,2,2,87,12,1,"GFI","Picea abies",1,"NB",8.7,0.12,1.3,1
"72",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",54,2,2,20,12,3,"GFI","Picea abies",1,"NB",2,0.12,1.3,2
