"","plot_ID","dec_type","D_mean","L_mean","B_t","C_t","N_t","V_tot_m3","plot_A_ha","MoMoK_A_ha","B_t_ha","C_t_ha","N_t_ha","V_tot_m3_ha","B_t_MA","C_t_MA","N_t_MA","V_tot_m3_MA","C_share","N_share","B_share","V_share"
"12",23060,4,20.5,2.35,0.01906187260705,0.00953093630352499,2.54475999304117e-05,0.135190585865603,0.0500343869018386,0.25,0.380975440839258,0.190487720419629,0.00050860221352041,2.70195348112949,0.0952438602098146,0.0476219301049073,0.000127150553380103,0.675488370282373,8.91266575148144,3.37827765182999,8.91266575148144,16.1851120824124
"13",23060,5,27.5454545454545,0.409090909090909,0.0300544623815934,0.0150272311907967,4.01227072794271e-05,0.24434522261458,0.0500343869018386,0.25,0.600676139802743,0.300338069901372,0.000801902646636662,4.88354585205482,0.150169034950686,0.0750845174753429,0.000200475661659166,1.22088646301371,14.052416731006,5.32646087268207,14.052416731006,29.253182013358
"14",23061,3,11.3333333333333,5.4,0.0320674143124361,0.0160337071562181,3.97098332431362e-05,0.0866686873309084,0.0500343869018386,0.25,0.640907509776196,0.320453754888098,0.000793650840991458,1.73218245885458,0.160226877444049,0.0801134387220245,0.000198412710247865,0.433045614713646,14.3236943383705,20.3161985671104,14.3236943383705,9.05888355609453
"15",23061,4,13.3333333333333,4.15,0.144503498434277,0.0722517492171386,0.000117336840728633,0.688111897306082,0.0500343869018386,0.25,2.8880837236554,1.4440418618277,0.00234512398360819,13.7527796364543,0.722020930913851,0.361010465456925,0.000586280995902047,3.43819490911357,64.5460192777404,60.0314421086712,64.5460192777404,71.9236178974183
"16",23061,5,21.3125,0.3875,0.0473057880184898,0.0236528940092449,3.84122998710137e-05,0.181945338532653,0.0500343869018386,0.25,0.945465527763895,0.472732763881947,0.000767718008544282,3.63640587601498,0.236366381940974,0.118183190970487,0.000191929502136071,0.909101469003745,21.1302863838891,19.6523593242184,21.1302863838891,19.0174985464872
"17",23150,2,16,8.13333333333333,0.116680364906053,0.0583401824530266,0.000417506025290172,0.313656894908745,0.0500343869018386,0.25,2.33200349061868,1.16600174530934,0.00834438175707575,6.26882658768462,0.58300087265467,0.291500436327335,0.00208609543926894,1.56720664692116,52.2542564284266,76.0711204075769,52.2542564284266,41.1963761154944
"18",23150,3,15,12.2,0.0664022731226007,0.0332011365613003,8.86470346186719e-05,0.2155917958526,0.0500343869018386,0.25,1.32713274278495,0.663566371392477,0.00177172221161791,4.30887254150959,0.331783185696238,0.165891592848119,0.000442930552904478,1.0772181353774,29.7376633161248,16.1518129937522,29.7376633161248,28.3162935472615
"19",23150,4,11,6.35,0.0200130260896662,0.0100065130448331,2.24176450177777e-05,0.122778288780604,0.0500343869018386,0.25,0.399985436594424,0.199992718297212,0.000448044762929911,2.45387815027054,0.0999963591486059,0.049998179574303,0.000112011190732478,0.613469537567635,8.96265449666894,4.08457667698677,8.96265449666894,16.1259664478096
"20",23150,5,15,2.2,0.0201978489486432,0.0100989244743216,2.02657300479676e-05,0.109343132308193,0.0500343869018386,0.25,0.403679353326921,0.20183967666346,0.000405036042266822,2.1853596911802,0.10091983833173,0.0504599191658651,0.000101259010566705,0.54633992279505,9.04542575877968,3.69248992168421,9.04542575877968,14.3613638894344
"21",23170,2,27,3.5,0.0745466949973995,0.0372733474986998,9.95198378215284e-05,0.200394341390859,0.0500343869018386,0.25,1.48990923269733,0.744954616348663,0.00198902882565093,4.00513234596055,0.372477308174332,0.186238654087166,0.000497257206412733,1.00128308649014,14.5330631174576,14.5330631174576,14.5330631174576,7.93164763154132
