bund_nr,ld_bze,bwi_tnr,bwi_eck,team,datum,srid_ist,istre,istho,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,geraet,beschreibungbestockung,anmerkung
140049,218,,,PiKü,2022-09-11,31468,4530000,5585000,1,1,1,1,3,-1,1,1,1,1,Vertex IV,"- Hauptbestand: schw-mittl Bmh
- Kronenbruch bei Baumnr.: 24,",Markierungsrohr zu Pflock 308cm + 286gon
140050,228,,,PiKü,2022-09-12,31468,4529800,5577000,2,1,1,1,6,6,2,1,1,1,Vertex IV,"- Hauptbestand: schw-mittl Bmh
- in Hauptbestand einzelstammweise GBI eingemischt
- vereinzelt Fichten-NV
- Kronenbruch bei Baumnr.: 74, 78,","Markierungsrohr zu Pflock 228cm + 176gon
-HBI-Punkt nicht auffindbar
-Neuaufnahme; ->>Messung von 5 Höhen pro Durchmesserstufe "
140051,231,,,PiKü,2022-09-12,31468,4521400,5561300,1,1,1,4,6,6,1,1,1,1,Vertex IV,"- Hauptbestand: mittl Baumholz
- vereinzelt Buchdruckerbefall
- in Südost des Bestandes: Lochhieb (vermutlich Borkenkäfer)
- in Nordost bis Nordwest: Höhe der 2. Schicht nimmt zu; 
+ Voranbau aus RBU+DGL
- Baum Nr.: 9 +20 mit Kronenbruch
- Baum Nr: 21, abgestorben nach Borkenkäferbefall - BHD + Höhe
dennoch gemessen
",Markierungsrohr zu Pflock 389cm + 54gon
140052,233,,,PiKü,2022-09-12,31468,4521800,5577200,1,1,1,1,6,-1,1,1,1,1,Vertex IV,"- Hauptbestand mittl Baumholz, einzelstammweise Strobe
- 10% Fichten-Naturverjüngung (Schlussgrad: lückig)
","Markierungsrohr zu Pflock 316cm + 257gon
"
140053,242,,,PiKü,2022-08-04,31468,4514350,5593450,1,1,6,6,6,5,2,1,1,1,Vertex,"- Hauptbestand: mittl-st Bmh
- wüchsig
- Zwischen- und Unterstand: Stangenholz aus GBI+SEI
- Unterstand: Jungwuchs
- BEJ: WEST im Zaun","Markierungsrohr zu Pflock 274cm + 200gon
- Höhen komplett, 1x ausgefallene Fichte durch 1x in gleicher
Durchmesserklasse ersetzt
+ ausgefallene SBI: alternativlos "
140054,243,,,PiKü,2022-04-12,31468,4588000,5655150,1,1,1,1,1,-1,1,1,1,1,Vertex,"- Hauptbestand: Stgh-schw Bmh
- mäßig wüchsig
- deformierte Kronen, aufgrund des Engstands
- Kronenbruch bei Baumnr.: 32 (vormals Höhe gemessen)","Markierungsrohr zu Pflock 522cm + 340gon
- Start der Außenaufnahmen mit Frank Jacob "
140055,248,,,PiKü,2022-11-16,31468,4587700,5639200,2,1,1,2,6,6,2,1,1,1,Vertex IV,"- Fläche größtenteils geräumt
- Hauptbestand mit zahlreichen Kronenbrüchen sowie Fäll- und Rückeschäden
+ LH einzelstammweise eingemischt
- Hauptbestand aus mittl-st Bmh
- Unterstand aus VB (+AS+GBI) Sukzession, Jungwuchs
- in NO bis SO bildet der Jungwuchs den Hauptbestand

- Kronenbrüche bei Baumnr.: 38, 44, 45
- Zopftrocknis bei Baumnr.: 40
","keine Angaben von ""Markierungsrohr zu Pflock"",
da kein Pflock vorhanden war"
140056,250,,,PiKü,2022-10-15,31468,4555200,5624200,1,1,1,1,2,-9,7,1,1,1,Vertex IV,"- Hauptbestand: schw-mittl Bmh
- Nadel-Laubmisch an Waldrand mit GKI+GBI+BAH+EI
- Käfer-Aufriss in Nordost
- Waldrand (Wiese) in SW-NW
- Verjüngung vereinzelt aus VB, BAH, SAH, EI 
+ durchschnittliche Höhe 50cm
- West-Satellit von BEJ auf Wiese gelegen
- Baumnr.: mit Kronenbruch: 65,",Markierungsrohr zu Pflock 334cm + 132gon
140057,252,,,PiKü,2022-11-04,31468,4555500,5632200,1,1,1,1,1,-9,2,1,1,1,Vertex IV,"- Hauptbestand: mittl-st Bmh
- einzelstammweise SEI eingemischt: Stangenholz-schw Bmh
- in Süd schließt sich Laubholz an
","keine Angaben von ""Markierungsrohr zu Pflock"",
da kein Pflock vorhanden war"
140058,255,,,PiKü,2022-11-04,31468,4547500,5632500,1,0,10,-1,5,-1,2,1,1,1,Vertex,"- Blöße mit spärlicher Vogelbeere + (GFI) -Sukzession in Lücke
+ Jungwuchs, unter 1m Höhe
- Fichtenbestand an den Rändern: schw-mittl Bmh
- Kronenschluss der Sukzession maximal 0,1
- beide GFI in Formular BE/BEA stehen in angrenzendem Bestand in
Bestandesschluss, daher ""Hauptbestand"" und Kraft'sche Klasse
""herrschend""",Markierungsrohr zu Pflock 328cm + 288gon
140059,263,,,PiKü,2022-11-22,31468,4556700,5672100,1,1,7,6,5,6,4,1,1,1,Vertex,"- Hauptbestand: Birken-Mischwald - Stangenholz-schw Bmh
+ mäßig wüchsig

- Zwischenstand: HBU+GFI (+BAH+VB) 
+ Jungbestand - Stangenholz

- Unterstand: VB+GFI (+HBU) 
+ Jungwuchs

- in Nord: massiver Einzug von VB (+HBU)  mit GKI-Überhalt

- Kronenbruch alt: Nr.4",Markierungsrohr zu Pflock 65Meter + 255gon
140060,269,,,PiKü,2022-11-22,31468,4540900,5680700,2,1,8,2,2,6,2,1,1,1,Vertex IV,"- Hauptbestand: Linden-Mischwald - Jungbestand-Stgh

- Unterstand: Laubholz-Mischwald - Jungwuchs

- GBI bricht zusammen

- Kronenbruch bei Baumnr.: 59,",Markierungsrohr zu Pflock 219cm + 282gon
140061,272,,,PiKü,2022-11-22,31468,4549200,5688450,1,1,6,6,6,6,2,1,1,1,Vertex IV,"- Hauptbestand: GKI-Mischwald mit EI+GBI - schw-mittl Bmh
+ GKI absterbend

- Zwischenstand: GBI - Stgh

- Unterstand: VB+GBI+STK (+ viel Faulbaum) - Jungw - lückig

Zopftrocknis bei Baumnr.: 6,

","Markierungsrohr zu Pflock 1556cm! + 297gon

bei BEJ - PK1 - Baum 4 müsste eigentlich Esskastanie sein aber
nicht in Liste, daher Bergulme eingetragen. Da EKA und BUL beides
Ringporer sind. "
140062,280,,,PiKü,2022-11-23,31468,4557900,5712100,1,1,2,4,3,6,1,1,1,1,Vertex IV,"- Hauptbestand: Stgh-schw Bmh

- Unterstand: GBI-Mischwald mit SEI - Jungwuchs

- Käferlöcher in Süd",Markierungsrohr zu Pflock 378cm + 139gon
140063,283,,,PiKü,2022-11-23,31468,4550100,5720300,1,1,2,6,3,6,1,1,1,1,Vertex IV,"- Hauptbestand: mittl-st Bmh

- Zwischenstand: RBU+GBI - Stgh-schw Bmh - einzelstammweise

- Unterstand: GKI-Misch mit RBU+SEI - lückig - Jungwuchs

Kronenbruch bei Baumnr.: 24",Markierungsrohr zu Pflock 338cm + 376gon
140064,284,,,PiKü,2022-11-23,31468,4542100,5720500,1,1,2,4,2,6,1,1,1,2,Vertex IV,"- Hauptbestand: Stgh

- Unterstand: RBU streifenweise gepflanzt, dazu Anflug SEI+VB+GBI
+ Jungwuchs",Markierungsrohr zu Pflock 302cm + 30gon
140065,290,,,PiKü,2022-11-23,31468,4573600,5703600,-1,1,4,4,2,6,1,2,1,1,Vertex IV,"- Hauptbestand: RBU - st Bmh

- Unterstand: RBU - Jungwuchs - lückig bis gedrängt

- Bestandesgrenze in Ost: Bestand aus RER+GBI+RBU (ÜH) mit
  vorrangig STK im Zwischenstand und RBU im Unterstand

Kronenbruch bei Baumnr.: 56, 57",Markierungsrohr zu Pflock 139cm + 321gon
140066,302,,,PiKü,1980-05-13,31468,4565000,5687950,-9,1,6,-9,-9,-9,3,-9,-9,-9,-9,,
140067,303,,,,2022-11-22,31468,4573000,5687650,2,1,6,4,5,6,2,1,1,2,Vertex IV,"- Hauptbestand: ELA+GBI+GKI - schw Bmh
+ GKI größtenteils von Borkenkäfer befallen und geräumt

- Unterstand: GBI+VB+AS - Jungwuchs

Kronenbruch bei Baumnr.: 71","Markierungsrohr zu Pflock 146cm + 300gon
-HBI-Punkt nicht auffindbar, da Grube 2022 neu angelegt
-Neuaufnahme; ->>Messung von 5 Höhen pro Durchmesserstufe "
140068,305,,,PiKü,2022-11-24,31468,4572400,5663600,2,1,10,6,6,6,2,1,1,1,Vertex IV,"- Hauptbestand: GES+EI + (GFI) - mittl-st Bmh

- Zwischenstand: BAH+HBU - Stangenholz

- Unterstand: BAH+GBI+HBU - Jungwuchs

- im Westen: geräumte Kalamitätsfläche (Buchdrucker+Sturm)

- Mischungsform in allen 3 Schichten: einzelstammweise
  ","keine Angaben von ""Markierungsrohr zu Pflock"", da kein Pflock
vorhanden war"
140089,30,,,,1970-01-01,31468,4677211,5692424,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140102,45,,,,1970-01-01,31468,4693247,5692028,-9,1,2,2,-9,-9,4,-9,-9,-9,-9,,
140175,157,,,,1970-01-01,31468,4627348,5630027,-9,1,1,1,-9,-9,2,-9,-9,-9,-9,,
140187,170,,,PiKü,2022-10-13,31468,4587000,5615200,1,1,4,5,6,6,4,2,1,1,Vertex IV,"- Hauptbestand: RBU - Jungbestand-Stangenholz
+ Naturverjüngung aus VB+GFI - Jungwuchs
+ 30% verbissen

- Überhalt: RBU + GBI - mittl-st Bmh

- GFI  komplett abgestorben - partiell geräumt
+ nördlich des Weges geräumt
+ südlich des Weges sich selbst überlassen
",Markierungsrohr zu Pflock 280cm + 100gon
140234,237,,,,1970-01-01,31468,4522100,5585250,-9,1,1,1,-9,-9,3,-9,-9,-9,-9,,
140252,262,,,PiKü,2022-10-14,31468,4530850,5609050,1,1,1,2,6,5,1,1,1,1,Vertex,"- Hauptbestand: mittl-st Bmh
- Unterstand : einzeln-truppweise Mischung
+ 90% GFI + 5% GBI (+VB+AS+RBU im weiteren Umkreis) ",Markierungsrohr zu Pflock 184cm + 205gon
140254,265,,,PiKü,2022-11-23,31468,4548450,5664350,1,1,8,4,1,6,2,1,1,2,Vertex IV,"- Hauptbestand: Laubmischwald - Stangenholz-schw Bmh

- Zwischenstand: STK-Mischwlad - Jungbestand

- Unterstand: STK-Mischwald - Jungwuchs

Verjüngungssatellit - SÜD außerhalb des Waldes gelegen",Markierungsrohr zu Pflock 347cm + 388gon
140315,315,,,PiKü,2022-11-03,31468,4522310,5593240,1,1,6,6,6,6,3,1,1,1,Vertex,"- Hauptbestand: mittl-st Bmh
- wüchsig
- einzelstammweise GBI eingemischt",Markierungsrohr zu Pflock 214cm + 167gon
140316,316,,,PiKü,2022-11-04,31468,4556200,5656215,1,1,5,4,2,6,2,1,1,1,Vertex iV,"- Hauptbestand: schw-mittl Bmh
- einzelstammweise HBU+WLI eingemischt

- Unterstand:  HBU+GES+WLI - Jungwuchs - wüchsig

- Kronenbruch bei Baumnr. 31, 
- Zopftrocknis bei Baumnr.: 14,",Markierungsrohr zu Pflock 2000cm! + 185gon
140317,-9,,,,1970-01-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,
