bund_nr,ld_standort_methode,ld_standort,ld_wh_stufe,ld_n_stufe,vornachnutz,egart,vorbesttyp,histnutz,anzkalk,kulissekalk
140032,sea95,"Uf TM2, RaGt-5 (Rachlauer Granit-Braunerde)",-9,-9,50,4,99,0,0,-9
140033,sea95,"Uf NM2+, KlGG4+ (Klingenberger Porphyr-Humusstaugley)",-9,-9,50,2,99,0,3,-9
140034,sea95,"Uf TM3, RoGn-6h (Rothenthaler Gneis-Braunerde)",-9,-9,50,2,99,0,1,-9
140035,sea95,"Hf TM2, ZwPh-5 (Zwotaer Phyllit-Braunerde)",-9,-9,50,2,99,0,3,-9
140036,sea95,"Mf TA2, KaP -5h (Kahleberg-Porphyr-Steinboden)",-9,-9,50,2,99,0,2,-9
140037,sea95,"Hf TM3, RoGn-6 (Rothenthaler Gneis-Braunerde)",-9,-9,50,2,99,0,2,-9
140038,sea95,"Hf TM2, RoGn-5 (Rothenthaler Gneis-Braunerde)",-9,-9,50,2,99,0,2,-9
140039,sea95,"Mf TZ2, NeGn-5h (Neuhausener Gneis-Braunpodsol)",-9,-9,50,2,99,0,0,-9
140040,sea95,"Hf TM1, RoGn-4 (Rothenthaler Gneis-Braunerde)",-9,-9,50,2,99,0,3,-9
140041,sea95,"Hf TM2, OgGn-5 (Oelsengrunder Gneis-Braunerde)",-9,-9,50,2,99,0,2,-9
140042,sea95,"Mf TM2w, OgGB-5 (Oelsengrunder Gneis-Braunstaugley)",-9,-9,50,2,99,0,0,-9
140043,sea95,"Mf TM1, ZwPh-4h (Zwotaer Phyllit-Braunerde)",-9,-9,50,3,99,0,2,-9
140044,sea95,"Hf TZ2, TePh-5 (Tellerhäuser Phyllit-Braunpodsol)",-9,-9,50,2,99,0,1,-9
140045,sea95,"Mf TZ3, WiSf-6h (Wildenthaler Schiefer-Braunpodsol)",-9,-9,50,2,99,0,2,-9
140046,sea95,"Mf TZ2, EbGt-5h (Eibenstocker Granit-Braunpodsol)",-9,-9,50,4,99,0,0,-9
140047,sea95,"Hf NZ2+, RiGG4+ (Riesenberg-Granit-Humusstaugley)",-9,-9,50,2,99,0,1,-9
140048,sea95,"Hf TZ3, EbGt-6 (Eibenstocker Granit-Braunpodsol)",-9,-9,50,2,99,0,3,-9
140049,sea95,"Hf TM2, ZwPh-5 (Zwotaer Phyllit-Braunerde)",-9,-9,50,2,99,0,1,-9
140050,sea95,"Mf TM2, EfPh-5h (Ellefelder Phyllit-Braunerde)",-9,-9,50,2,99,0,2,-9
140051,sea95,"Hf TZ3, RiGt-6 (Riesenberg-Granit-Podsol)",-9,-9,50,5,99,0,2,-9
140052,sea95,"Mm TM2, AdPh-5 (Adorfer Phyllit-Braunerde)",-9,-9,50,3,99,0,1,-9
140053,sea95,"Uf TM2, LaSf-5 (Lauschgrüner Schiefer-Braunerde (La.Ts))",-9,-9,50,4,99,0,0,-9
140054,sea95,"Uf WM2+, GbLU5+ (Grillenburger Löß-Staugley)",-9,-9,50,2,99,0,0,-9
140055,sea95,"Uf TK1w, GbLB-4 (Grillenburger Löß-Braunstaugley)",-9,-9,50,4,99,0,0,-9
140056,sea95,"Uf TM2w, WuLB-5 (Werdauer Decklöß-Braunstaugley)",-9,-9,50,4,99,0,0,-9
140057,sea95,"Uf TM2, BlSf-5 (Blankensteiner Schiefer-Braunerde)",-9,-9,50,2,99,0,1,-9
140058,sea95,"Uf TM2w, GbLB-5 (Grillenburger Löß-Braunstaugley)",-9,-9,50,4,99,0,0,-9
140059,sea95,"Um TM2, NaLL-5 (Neuhainer Decklöß-Braunerde)",-9,-9,50,2,99,0,0,-9
140060,sea95,"Ut WM2, LiLU5 (Lindhardter Flachdecklöß-Staugley)",-9,-9,50,4,99,0,0,-9
140061,sea95,"Um TM2, LeP -5 (Leisniger Porphyr-Braunerde)",-9,-9,50,2,99,0,0,-9
140062,sea95,"Tm TM2, NeS 6 (Nedlitzer Sand-Braunerde)",-9,-9,50,2,99,0,0,-9
140063,sea95,"Tm TM2, NeS 7 (Nedlitzer Sand-Braunerde)",-9,-9,50,1,99,0,0,-9
140064,sea95,"Tm TM2, NeS7 (Nedlitzer Sand-Braunerde)",-9,-9,50,3,99,0,0,-9
140065,sea95,"Tm TZ2, BäS7 (Bärenthorener Sand-Braunerde)",-9,-9,50,2,99,0,0,-9
140066,sea95,"Um TM2w, GbLB-5 (Grillenburger Löß-Braunstaugley)",-9,-9,50,2,99,0,0,-9
140067,sea95,"Um WM2, WmLU5 (Wermsdorfer Decklöß-Staugley)",-9,-9,50,4,99,0,0,-9
140068,sea95,"Um TM2w, MaLB-5h (Massaneier Decklöß-Braunstaugley)",-9,-9,50,4,99,0,0,-9
140089,sea95,"Tm TM1, MdSB5 (Meinsdorfer Sand-Braungley)",-9,-9,50,2,99,0,0,-9
140102,sea95,"Tm NZ1, ScSG3 (Stechauer Sand-Humusgley)",-9,-9,50,4,99,0,0,-9
140175,sea95,"Mf TM2, HgGn-5h (Hirschberg-Gneis-Braunerde)",-9,-9,50,3,99,0,2,-9
140187,sea95,"Mf TM2, WoGn-5 (Wolkensteiner Gneis-Braunerde)",-9,-9,50,4,99,0,0,-9
140234,sea95,"Mf TM2, SoPh-5 (Sohler Phyllit-Braunerde)",-9,-9,50,4,99,0,1,-9
140252,sea95,"Uf TM2, SöGt-5 (Schönauer Granit-Braunerde)",-9,-9,50,4,99,0,0,-9
140254,sea95,"Um TK2, NfLL-5 (Naunhofer Decklöß-Braunerde)",-9,-9,50,2,99,0,0,-9
140315,sea95,"Mf Tm3, LaSF-6 (Lauschgrüner Schiefer-Braunerde (La.Ts)))",-9,-9,50,4,99,0,0,-9
140316,sea95,"Um, nk (nicht kartiert)",-9,-9,50,4,99,0,0,-9
140317,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
