bund_nr,ld_bze,bwi_tnr,bwi_eck,datum,srid_ist,istre,istho,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,beschreibungbestockung,anmerkung
130033,1217,,,1970-01-01,31468,4636928,5941596,1,2,1,2,-9,1,,
130034,-9,,,1970-01-01,31468,4628901,5941882,1,8,1,2,-9,1,,
130035,-9,,,1970-01-01,31468,4621051,5942213,1,5,2,2,5,1,,
130036,1249,,,1970-01-01,31468,4509072,5945597,1,2,2,2,2,1,,
130037,1251,,,1970-01-01,31468,4501064,5945890,1,2,4,4,2,2,,
130038,-9,,,1970-01-01,31468,4493000,5946126,-9,-9,-9,-9,-9,-9,,
130039,1257,,,1970-01-01,31468,4477132,5946540,1,2,2,2,2,1,,
130040,-9,,,1970-01-01,31468,4469014,5946735,1,5,1,1,-9,1,Aufnahmepunkt 149 gon und 595 m vom  Zentralstamm entfernt,
130041,-9,,,1970-01-01,31468,4453107,5947312,1,1,1,6,-9,2,,
130042,1324,,,1970-01-01,31468,4652714,5933369,1,2,2,2,6,1,,
130043,-9,,,1970-01-01,31468,4588695,5935011,1,5,2,2,6,2,,
130044,1348,,,1970-01-01,31468,4524819,5937075,1,2,1,2,-9,3,,
130045,-9,,,1970-01-01,31468,4572499,5927500,-9,-9,-9,-9,-9,-9,,
130046,1449,,,1970-01-01,31468,4556448,5928116,1,2,1,2,-9,1,,
130047,1451,,,1970-01-01,31468,4548422,5928262,1,2,2,4,2,1,,
130048,1479,,,1970-01-01,31468,4428600,5932147,1,2,4,2,1,2,,
130049,-9,,,1970-01-01,31468,4451606,5899400,1,2,1,1,-9,1,,
130050,1555,,,1970-01-01,31468,4572177,5919634,1,4,1,1,-9,1,,
130051,1558,,,1970-01-01,31468,4556233,5920199,1,2,1,2,-9,1,,"Dünen-Mikrorelief, 0,2 - 0,5 m Amplitude"
130052,1563,,,1970-01-01,31468,4524307,5921183,1,2,1,6,-9,1,,
130053,-9,,,1970-01-01,31468,4508320,5921647,1,8,2,5,1,2,"aufnahmepunkt 11,72m und 273 gon vom Zentralstamm",
130054,-9,,,1970-01-01,31468,4444257,5923640,1,8,1,6,-9,2,,
130055,-9,,,1970-01-01,31468,4428447,5924201,1,5,2,2,2,1,,
130056,1666,,,1970-01-01,31468,4587984,5911228,1,4,1,1,-9,1,,
130057,1668,,,1970-01-01,31468,4579927,5911350,1,4,1,1,-9,1,,
130058,-9,,,1970-01-01,31468,4564003,5911850,1,8,1,2,-9,1,,
130059,1692,,,1970-01-01,31468,4484152,5914375,1,2,5,2,2,2,,
130060,1694,,,1970-01-01,31468,4476052,5914593,1,2,1,2,-9,1,,
130061,1696,,,1970-01-01,31468,4468080,5914867,1,2,1,2,-9,1,,
130062,-9,,,1970-01-01,31468,4460000,5915000,-9,-9,-9,-9,-9,-9,,
130063,-9,,,1970-01-01,31468,4555786,5904265,1,2,2,2,6,1,,
130064,1803,,,1970-01-01,31468,4491791,5906125,1,2,1,1,-9,1,,
130065,-9,,,1970-01-01,31468,4475874,5906685,-9,-9,-9,-9,-9,-9,,
130066,-9,,,1970-01-01,31468,4444000,5908000,-9,-9,-9,-9,-9,-9,,
130068,2027,,,1970-01-01,31468,4459160,5891187,1,2,1,2,-9,1,,"zusätzlich zur Hauptreliefform: Kleinrelief aus flachen, ca. 0,5 m hohen Dünen und Dünentälern"
130069,5,,,1970-01-01,31468,4535835,6032839,1,8,1,2,-9,1,,
130070,9,,,1970-01-01,31468,4535286,6016895,1,8,1,2,-9,1,,
130071,10,,,1970-01-01,31468,4614760,5998288,1,2,2,2,5,2,,
130072,16,,,1970-01-01,31468,4518796,6001341,1,8,6,2,3,2,,Stoffeinträge aus nahegelegenem Stickstoffwerk wahrscheinlich!!!
130073,22,,,1970-01-01,31468,4566216,5983912,1,5,1,5,-9,2,,
130074,36,,,1970-01-01,31468,4501839,5969791,1,5,1,1,-9,3,,
130075,48,,,1970-01-01,31468,4533284,5952931,1,8,1,2,-9,1,,"Wasserstand auf der Fläche am 23.05.2007 und am 18.07.2007 flurgleich!
Vor 1979 wurde die Fläche vermutlich als Wiese genutzt!"
130076,62,,,1970-01-01,31468,4532772,5936871,1,2,2,2,6,2,,
130077,63,,,1970-01-01,31468,4516824,5937359,1,2,1,2,-9,1,,
130078,78,,,1970-01-01,31468,4500362,5921910,1,1,1,2,-9,1,,Ackerkante mit ausgeprägtem Waldrand und Traufbäumen;
130079,83,,,1970-01-01,31468,4420397,5924432,1,2,1,2,-9,2,,
130080,90,,,1970-01-01,31468,4563816,5903903,1,2,2,2,6,1,,
130081,91,,,1970-01-01,31468,4547712,5904186,1,2,6,5,4,1,,
130082,92,,,1970-01-01,31468,4531783,5904943,1,3,1,1,-9,1,,Autobahn 1km westlich!
130083,96,,,1970-01-01,31468,4467975,5906881,1,2,1,6,-9,1,,Müllverbrennungsanlage 500m nördlich;
130084,74,,,1970-01-01,31468,4564241,5919936,1,3,2,2,6,2,,Starke Nutzung des austockenden Bestandes im Winterhalbjahr 2006/2007. Es wurden ca. 50% des Bestandesvolumens entnommen!
130085,-9,,,1970-01-01,31468,4645148,5949297,-9,-9,-9,-9,-9,-9,,
130086,-9,,,1970-01-01,31468,4548757,5936272,-9,-9,-9,-9,-9,-9,,
130087,-9,,,1970-01-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,,
130088,29,,,1970-01-01,31468,4618012,5974156,1,2,1,2,-9,2,,
