bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
120129,KF,2011-11-11,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120130,KF,2012-04-26,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120131,KF,2012-04-17,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120132,KF,2012-03-26,-9,,,,,,,,,,,,,,,,,1,8,1,1,-9,1,1,1,1,
120133,KF,2012-03-29,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120134,KF,2012-03-26,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120135,KF,2012-04-06,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120136,KF,2012-04-06,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120137,KF,2012-04-19,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120138,KF,2012-04-19,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120139,KF,2012-04-02,-9,,,,,,,,,,,,,,,,,1,7,1,4,-9,2,1,1,1,
120140,KF,2012-04-02,-9,,,,,,,,,,,,,,,,,1,2,2,4,5,1,1,1,1,
120141,KF,2012-04-23,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120142,KF,2012-04-23,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120143,KF,2012-04-16,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120144,KF,2012-04-16,-9,,,,,,,,,,,,,,,,,1,2,2,6,6,1,1,1,1,
120145,KF,2012-04-18,-9,,,,,,,,,,,,,,,,,1,2,1,4,-9,1,1,1,1,
120146,KF,2012-04-18,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120147,KF,2012-04-10,-9,,,,,,,,,,,,,,,,,1,2,1,4,-9,1,1,1,1,
120148,KF,2012-04-10,-9,,,,,,,,,,,,,,,,,1,8,1,6,-9,2,1,1,1,
120149,KF,2012-04-05,-9,,,,,,,,,,,,,,,,,1,2,4,1,6,2,1,1,1,
120150,KF,2012-04-08,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120151,KF,2012-04-08,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120152,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120153,KF,2012-04-07,-9,2,1,1961,50,1323,313,-2,-2,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120154,KF,2012-04-03,-9,,,,,,,,,,,,,,,,,1,8,4,6,6,6,1,1,1,
120155,KF,2012-04-04,-9,,,,,,,,,,,,,,,,,1,6,6,5,6,2,1,1,1,
120156,KF,2012-04-03,-9,,,,,,,,,,,,,,,,,1,2,2,6,6,2,1,1,1,
120157,KF,2011-11-16,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120158,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120159,KF,2012-03-28,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,1,
120160,KF,2011-11-01,-9,,,,,,,,,,,,,,,,,1,2,1,3,-9,1,1,1,1,
120161,KF,2012-03-30,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120162,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120163,KF,2011-11-18,-9,3,2,1918,290,1722,1,809,240,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120164,KF,2011-09-28,-9,2,1,1310,384,1317,255,-2,-2,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120165,KF,2012-04-04,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120166,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120167,KF,2012-03-29,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120168,KF,2011-09-30,-9,,,,,,,,,,,,,,,,,1,8,2,2,6,2,1,1,1,
120169,KF,2012-03-30,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120170,KF,2012-03-19,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120181,KF,2012-04-12,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,1,1,1,1,
120182,KF,2011-11-30,-9,,,,,,,,,,,,,,,,,1,2,2,1,2,1,1,1,1,
120183,KF,2012-03-16,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120184,KF,2012-04-06,-9,,,,,,,,,,,,,,,,,1,2,2,2,4,1,1,1,1,
120185,KF,2012-03-27,-9,,,,,,,,,,,,,,,,,1,2,4,2,6,1,1,1,1,
120186,KF,2012-03-14,-9,,,,,,,,,,,,,,,,,1,2,4,2,6,1,1,1,1,
120187,KF,2011-11-30,-9,,,,,,,,,,,,,,,,,1,4,1,2,-9,1,1,1,1,
120188,KF,2012-03-23,-9,,,,,,,,,,,,,,,,,1,5,1,2,-9,1,1,1,1,
