bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist,pk_anmerkung
140050,2,o,1000,1,490,
140050,3,s,1000,1,430,
140050,4,w,1000,2,-9,
140051,1,n,1000,1,180,
140051,2,o,1000,1,260,
140051,3,s,1000,1,102,
140051,4,w,1000,1,418,
140052,1,n,1000,1,160,
140052,2,o,1000,1,240,
140052,3,s,1000,1,330,
140052,4,w,1000,1,405,
140053,1,n,1000,1,130,
140053,2,o,1000,1,460,
140053,3,s,1000,1,170,
140053,4,w,1000,1,195,
140054,1,n,1000,2,-9,
140054,2,o,1000,1,450,
140054,3,s,1000,2,-9,
140054,4,w,1000,2,-9,
140055,1,n,1000,1,330,
140055,2,o,1000,1,495,
140055,3,s,1000,1,190,
140055,4,w,1000,1,350,
140056,1,n,1000,1,140,
140056,2,o,1000,1,500,
140056,3,s,1000,1,300,
140056,4,w,500,1,105,
140057,1,n,1000,1,500,
140057,2,o,1000,1,500,
140057,3,s,1000,1,130,
140057,4,w,1000,1,205,
140058,1,n,1000,1,500,
140058,2,o,1000,2,-9,
140058,3,s,1000,2,-9,
140058,4,w,1000,1,500,
140059,1,n,1000,1,130,
140059,2,o,1000,1,225,
140059,3,s,1000,1,240,
140059,4,w,1000,1,160,
140060,1,n,1000,1,190,
140060,2,o,1000,1,175,
140060,3,s,1000,1,120,
140060,4,w,1000,1,205,
140061,1,n,1000,1,310,
140061,2,o,1000,1,340,
140061,3,s,1000,1,170,
140061,4,w,1000,1,110,
140062,1,n,1000,1,500,
140062,2,o,1000,1,500,
140062,3,s,1000,1,450,
140062,4,w,1000,1,350,
140063,1,n,1000,1,150,
140063,2,o,1000,1,300,
140063,3,s,1000,1,305,
140063,4,w,1000,1,195,
140064,1,n,1000,1,500,
140064,2,o,1000,1,500,
140064,3,s,1000,2,500,
140064,4,w,1000,1,500,
140065,1,n,1000,1,340,
140065,2,o,1000,1,180,
140065,3,s,1000,1,400,
140065,4,w,1000,1,310,
140066,1,n,1000,1,500,
140066,2,o,1000,1,500,
140066,3,s,1000,2,-9,
140066,4,w,1000,1,500,
140067,1,n,1000,1,500,
140067,2,o,1000,1,500,
140067,3,s,1000,1,300,
140067,4,w,1000,1,500,
140068,1,n,1000,2,-9,
140068,2,o,1000,2,-9,
140068,3,s,1000,2,-9,
140068,4,w,1000,2,-9,
140089,1,n,1000,1,500,
140089,2,o,1000,1,210,
140089,3,s,1000,1,500,
140089,4,w,1000,1,500,
140102,1,n,1000,1,230,
140102,2,o,1000,1,210,
140102,3,s,1000,1,240,
140102,4,w,1000,1,280,
140175,1,n,1000,1,490,
140175,2,o,1000,1,470,
140175,3,s,1000,1,290,
140175,4,w,1000,1,290,
140187,1,n,1000,1,270,
140187,2,o,1000,1,190,
140187,3,s,1000,1,295,
140187,4,w,1000,1,350,
140234,1,n,1000,1,195,
140234,2,o,1000,1,260,
140234,3,s,1000,1,500,
140234,4,w,1000,1,260,
140252,1,n,1000,1,260,
140252,2,o,1000,1,460,
140252,3,s,1000,1,175,
140252,4,w,1000,1,90,
140254,1,n,1000,1,260,
140254,2,o,1000,1,230,
140254,3,sw,500,1,250,
140254,4,w,1000,1,260,
140315,1,n,1000,1,350,
140315,2,o,1000,1,140,
140315,3,s,1000,1,500,
140315,4,w,1000,1,145,
140316,1,n,1000,2,-9,
140316,2,o,1000,1,500,
140316,3,s,1000,1,500,
140316,4,w,1000,2,-9,
