zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
5,280,,130,,53,bah,31,50005,-9,,64,1,,2,1099,6
,245,,130,,64,bah,32,50005,-9,,64,1,,2,1136,6
,222,,130,,76,bah,33,50005,-9,,64,1,,2,866,6
,144,,130,,91,bah,34,50005,-9,,64,1,,4,844,6
,156,,130,,93,bah,35,50005,-9,,64,1,,3,1121,6
,137,,130,,102,bah,36,50005,-9,,64,1,,4,1113,6
6,155,,130,,105,bah,37,50005,-9,,64,1,,3,371,6
6,250,,130,,106,bah,38,50005,-9,,64,1,,3,371,6
,182,,130,,106,bah,39,50005,-9,,64,1,,3,512,6
,125,,130,,110,bah,40,50005,-9,,64,1,,4,857,6
,105,,130,,140,bah,41,50005,-9,,64,1,,4,642,6
,269,,130,,140,bah,42,50005,-9,,64,1,,2,841,6
,156,,130,,167,bah,43,50005,-9,,64,1,,3,769,6
,372,,130,247,168,bah,44,50005,-9,,64,1,85,2,1111,6
,128,,130,,179,bah,45,50005,-9,,64,1,,4,1237,6
,190,,130,,189,bah,46,50005,-9,,64,1,,3,538,6
,365,,130,,191,bah,47,50005,-9,,64,1,,1,697,6
,201,,130,,192,bah,48,50005,-9,,64,1,,3,1022,6
,165,,130,,195,bah,49,50005,-9,,64,1,,3,1174,6
,297,,130,,209,bah,50,50005,-9,,64,1,,2,1188,6
,182,,130,,212,bah,51,50005,-9,,64,1,,3,1058,6
,249,,130,,220,bah,52,50005,-9,,64,1,,2,730,6
,119,,140,,222,bah,53,50005,-9,,64,1,,4,596,6
,243,,130,,218,bah,54,50005,-9,,64,1,,2,1245,6
,228,,130,,222,bah,55,50005,-9,,64,1,,2,1076,6
,315,,130,,227,bah,56,50005,-9,,64,1,,2,1472,6
,205,,130,,239,bah,57,50005,-9,,64,1,,3,1067,6
,144,,130,,247,bah,58,50005,-9,,64,1,,4,320,6
,160,,130,,255,bah,59,50005,-9,,64,1,,4,854,6
,315,,130,,262,bah,60,50005,-9,,64,1,,2,978,6
,178,,130,,262,bah,61,50005,-9,,64,1,,2,1086,6
1,227,,130,164,176,hbu,1,50006,-9,,79,1,28,3,245,6
1,129,,130,138,177,hbu,2,50006,-9,,79,1,56,3,245,6
1,94,,130,132,177,hbu,3,50006,-9,,79,1,60,4,250,6
1,93,,130,125,178,hbu,4,50006,-9,,79,1,60,4,250,6
2,426,,140,269,178,rei,5,50006,-9,,79,1,150,1,574,6
2,434,,140,,179,rei,6,50006,-9,,79,1,,1,574,6
3,396,,130,247,202,rei,7,50006,-9,,79,1,145,1,395,6
3,511,,130,282,202,rei,8,50006,-9,,79,1,127,1,405,6
3,440,,130,,204,rei,9,50006,-9,,79,1,,1,395,6
,245,,130,123,203,rbu,10,50006,-9,,79,1,95,4,945,6
,173,,130,,207,rei,11,50006,-9,,79,1,,2,1173,6
,320,,130,147,210,rbu,12,50006,-9,,79,1,76,4,1677,6
,317,,130,271,230,rei,13,50006,-9,,79,1,98,2,954,6
4,166,,130,,233,rbu,14,50006,-9,,79,1,,3,1175,6
4,120,,130,115,234,rbu,15,50006,-9,,79,1,35,4,1175,6
4,193,,130,,234,rbu,16,50006,-9,,79,1,,3,1180,6
,382,,130,209,234,rbu,17,50006,-9,,79,1,86,3,1375,6
,130,,130,,237,rbu,18,50006,-9,,79,1,,4,1220,6
,156,,130,157,260,rei,19,50006,-9,,79,1,84,4,1197,6
,572,,130,303,269,pa,20,50006,-9,,69,1,158,1,1546,6
,163,,130,139,317,rbu,21,50006,-9,,59,1,36,4,426,5
5,447,,130,,347,rei,22,50006,-9,,79,1,,1,1001,6
5,485,,130,295,348,rei,23,50006,-9,,79,1,98,1,1001,6
,319,,130,,350,rei,24,50006,-9,,79,1,,3,1000,6
,78,,130,64,389,vbe,25,50006,-9,,31,2,24,0,461,5
,174,,130,199,44,ser,26,50006,-9,,69,1,144,3,687,6
,278,,130,248,65,ser,27,50006,-9,,69,1,176,2,1165,6
6,269,,130,208,93,rbu,28,50006,-9,,79,1,67,3,772,6
6,145,,130,,94,rbu,29,50006,-9,,79,1,,4,772,6
,526,,130,,135,rei,30,50006,-9,,79,1,,1,930,6
,439,,130,,151,rei,31,50006,-9,,79,1,,1,682,6
,919,,130,387,252,pa,32,50006,-9,,69,1,147,1,2043,6
,89,,130,151,72,sbi,1,50007,-9,,40,1,109,4,92,6
,126,,130,,75,sbi,2,50007,-9,,40,1,,3,896,6
,117,,130,157,92,sbi,3,50007,-9,,40,1,105,3,525,6
,102,,130,,97,sbi,4,50007,-9,,40,1,,3,894,6
,111,,130,,96,sbi,5,50007,-9,,40,1,,4,1227,6
,184,,130,,102,pa,6,50007,-9,,41,1,,1,1152,6
