bund_nr,lfd_nr,zwiesel,bart,baumkennzahl,d_mess,bhd_hoehe,hoehe,kransatz,kraft,schi,hori,azi,alter,alter_methode
50006,16,4,rbu,-9,193,130,-9,-9,3,1,1180,234,68,6
50006,17,,rbu,-9,382,130,209,86,3,1,1375,234,68,6
50006,18,,rbu,-9,130,130,-9,-9,4,1,1220,237,68,6
50006,19,,rei,-9,156,130,157,84,4,1,1197,260,68,6
50006,20,,pa,-9,572,130,303,158,1,1,1546,269,58,6
50006,21,,rbu,-9,163,130,139,36,4,1,426,317,48,5
50006,22,5,rei,-9,447,130,-9,-9,1,1,1001,347,68,6
50006,23,5,rei,-9,485,130,295,98,1,1,1001,348,68,6
50006,24,,rei,-9,319,130,-9,-9,3,1,1000,350,68,6
50006,25,,vbe,-9,78,130,64,24,0,2,461,389,20,5
50006,26,,ser,-9,174,130,199,144,3,1,687,44,58,6
50006,27,,ser,-9,278,130,248,176,2,1,1165,65,58,6
50006,28,6,rbu,-9,269,130,208,67,3,1,772,93,68,6
50006,29,6,rbu,-9,145,130,-9,-9,4,1,772,94,68,6
50006,30,,rei,-9,526,130,-9,-9,1,1,930,135,68,6
50006,31,,rei,-9,439,130,-9,-9,1,1,682,151,68,6
50006,32,,pa,-9,919,130,387,147,1,1,2043,252,58,6
50007,1,,sbi,-9,89,130,151,109,4,1,92,72,29,6
50007,2,,sbi,-9,126,130,-9,-9,3,1,896,75,29,6
50007,3,,sbi,-9,117,130,157,105,3,1,525,92,29,6
50007,4,,sbi,-9,102,130,-9,-9,3,1,894,97,29,6
50007,5,,sbi,-9,111,130,-9,-9,4,1,1227,96,29,6
50007,6,,pa,-9,184,130,-9,-9,1,1,1152,102,30,6
50007,7,,sbi,-9,85,130,-9,-9,4,1,332,111,29,6
50007,8,,sbi,-9,128,130,-9,-9,2,1,681,111,29,6
50007,9,,pa,-9,161,130,-9,-9,1,1,752,111,30,6
50007,10,,sbi,-9,94,130,-9,-9,3,1,492,120,29,6
50007,11,,sbi,-9,105,130,-9,-9,3,1,741,130,29,6
50007,12,,sbi,-9,146,130,-9,-9,2,1,312,131,29,6
50007,13,,sbi,-9,120,130,-9,-9,3,1,506,131,29,6
50007,14,,pa,-9,156,130,-9,-9,1,1,372,162,30,6
50007,15,,sbi,-9,149,130,174,71,2,1,554,166,29,6
50007,16,,sbi,-9,166,130,157,64,2,1,813,166,29,6
50007,17,,sbi,-9,164,130,-9,-9,2,1,1159,168,29,6
50007,18,,sbi,-9,124,130,-9,-9,3,1,1169,178,29,6
50007,19,,pa,-9,190,130,-9,-9,1,1,945,180,30,6
50007,20,,pa,-9,350,130,233,107,1,1,1438,198,30,6
50007,21,,sbi,-9,158,130,-9,-9,2,1,195,198,29,6
50007,22,,sbi,-9,136,130,-9,-9,3,1,1020,208,29,6
50007,23,,sbi,-9,115,130,-9,-9,3,1,899,209,29,6
50007,24,,sbi,-9,121,130,-9,-9,2,1,1259,224,29,6
50007,25,,pa,-9,154,130,-9,-9,2,1,551,236,30,6
50007,26,,sbi,-9,123,130,-9,-9,3,1,626,238,29,6
50007,27,,pa,-9,174,130,-9,-9,1,1,973,260,30,6
50007,28,,sbi,-9,163,130,-9,-9,3,1,868,266,29,6
50007,29,,sbi,-9,121,130,-9,-9,2,1,665,280,29,6
