ld_bze,eu_wze,ld_wze,ld,raster,istre,istho,srid_ist,hoehenn,bund_nr
457,-9,34935735,-9,-9,492929,5733146,25832,280,50126
459,-9,34935743,-9,-9,492929,5741143,25832,320,50127
461,-9,34935775,-9,-9,492930,5773130,25832,240,50128
474,325,35015719,-9,-9,4293218,5723424,31468,340,50129
475,306,35015735,-9,-9,4294073,5739231,31468,320,50130
477,-9,35015743,-9,-9,500926,5741143,25832,220,50131
479,287,35015751,-9,-9,4294415,5755206,31468,190,50132
482,267,35015767,-9,-9,4295228,5771254,31468,180,50133
485,-9,35095703,-9,-9,508923,5701159,25832,250,50134
486,-9,35095727,-9,-9,508923,5725149,25832,230,50135
488,-9,35095735,-9,-9,508923,5733146,25832,285,50136
489,-9,35095759,-9,-9,508923,5757136,25832,260,50137
494,-9,35175727,-9,-9,516920,5725149,25832,260,50138
495,307,35175735,-9,-9,4310010,5738713,31468,250,50139
496,288,35175751,-9,-9,4310495,5754557,31468,260,50140
505,384,25415655,-9,-9,4120122,5668950,31468,85,50141
513,-9,25815647,-9,-9,370207,5646174,25832,105,50142
516,317,25895719,-9,-9,4173426,5728782,31468,56,50143
524,-9,34295695,-9,-9,428954,5693163,25832,290,50144
527,-9,34775695,-9,-9,476935,5693162,25832,436,50145
508,-9,25695603,-9,-9,356435,5602707,25832,380,50146
-9,-9,-9,-9,-9,-9,-9,-9,-9,51025
