"Nr_code","Chr_code_ger","name","icode","bot_name","bot_genus","bot_species","BWI","LH_NH","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group"
"gki","GKi","Gewoehnliche Kiefer",211,"Pinus sylvestris","Pinus","sylvestris","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"rfi","RFi","Rotfichte",231,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"str","Str","Strobe",235,"Pinus strobus","Pinus","strobus","wey","NB","Pinus strobus",7,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"eta","ETa","Edeltanne",218,"Abies procera","Abies","procera","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"-9","fehlt","Merkmal vergessen, nicht rekonstruierbar oder unbekannt",-9,"-2","-2","-2",NA,NA,"missing",NA,"fi","other","other","other","other","other","BU","other","-2","-2"
"-2","nicht ausgeprÃ¤gt","Merkmal nicht ausgeprÃ¤gt/nicht vorhanden",-2,"-2","-2","-2",NA,NA,"missing",NA,"fi","other","other","other","other","other","BU","other","-2","-2"
"-1","nicht erhoben","Merkmal nicht erhoben",-1,"-2","-2","-2",NA,NA,"missing",NA,"fi","other","other","other","other","other","BU","other","-2","-2"
"ser","SEr","Schwarz-Erle",104,"Alnus glutinosa","Alnus","glutinosa","erl","LB","Alnus spp.",28,"bu","aLn","shw","ERL","BI","ERL","BI","aLn","Alnus spp.","Alnus spp."
"wer","WEr","Grau-Erle",105,"Alnus incana","Alnus","incana","erl","LB","Alnus spp.",28,"bu","aLn","shw","ERL","BI","ERL","BI","aLn","Alnus spp.","Alnus spp."
"sbi","SBi","Sand-Birke",107,"Betula pendula","Betula","pendula","bi","LB","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp."
"mbi","MBi","Moor-Birke",108,"Betula pubescens","Betula","pubescens","bi","LB","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp."
"tei","TEi","Trauben-Eiche",116,"Quercus petraea","Quercus","petraea","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"sei","SEi","Stiel-Eiche",117,"Quercus robur","Quercus","robur","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"wli","WLi","Winter-Linde",123,"Tilia cordata","Tilia","cordata","li","LB","Tilia spp.",27,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Tilia spp.","Tilia spp."
"sli","SLi","Sommer-Linde",124,"Tilia platyphyllos","Tilia","platyphyllos","li","LB","Tilia spp.",27,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Tilia spp.","Tilia spp."
"as","As","Aspe/Zitterpappel",126,"Populus tremula","Populus","tremula","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"bul","BUl","Bergulme",128,"Ulmus glabra","Ulmus","glabra","ul","LB","Ulmus spp.",30,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Ulmus spp.","Ulmus spp."
"bwe","BWe","Bruchweide",129,"Salix fragilis","Salix","fragilis","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"ful","FUl","Feldulme",133,"Ulmus campestris","Ulmus","campestris","ul","LB","Ulmus spp.",30,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Ulmus spp.","Ulmus spp."
"flu","FLu","Flatterulme",134,"Ulmus laevis (vorher effusa)","Ulmus","laevis (vorher effusa)","ul","LB","Ulmus spp.",30,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Ulmus spp.","Ulmus spp."
"gpa","GPa","Graupappel",135,"Populus x canescens","Populus","x canescens","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"ger","GEr","Gruenerle",136,"Alnus viridis","Alnus","viridis","erl","LB","Alnus spp.",28,"bu","aLn","shw","ERL","BI","ERL","BI","aLn","Alnus spp.","Alnus spp."
"hi","Hi","Hickory",137,"Carya spp.","Carya","spp.","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"hbi","HBi","Hybridbirke",138,"Betula x hybrida","Betula","x hybrida","bi","LB","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp."
"jbi","JBi","Japanbirke",139,"Betula platyphylla var. japonica","Betula","platyphylla var. japonica","bi","LB","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp."
"me","Me","Mehlbeere",140,"Sorbus aria","Sorbus","aria","vb","LB","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus aria","Sorbus aria"
"mi","Mi","Mispel",141,"Mespilus germanica","Mespilus","germanica","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"nu","Nu","Walnussbaum",142,"Juglans regia","Juglans","regia","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"pl","Pl","Platane",143,"Platanus x hybrida","Platanus","x hybrida","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"rka","RKa","Rosskastanie",144,"Aesculus hippocastanum","Aesculus","hippocastanum","ka","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"swe","SWe","Salweide",145,"Salix caprea","Salix","caprea","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"snu","SNu","Schwarznuss",146,"Juglans nigra","Juglans","nigra","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"spa","SPa","Schwarzpappel",147,"Populus nigra","Populus","nigra","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"sp","Sp","Speierling",148,"Sorbus domestica","Sorbus","domestica","vb","LB","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus domestica","Sorbus domestica"
"spi","SPi","Spirke",150,"Pinus uncinata","Pinus","uncinata","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"sue","SuE","Sumpfeiche",151,"Quercus palustris","Quercus","palustris","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"ftk","FTk","Fruehbl. Traubenkirsche",152,"Prunus padus","Prunus","padus","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"stk","STk","Spaetbl. Traubenkirsche",153,"Prunus serotina","Prunus","serotina","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"tu","Tu","Tulpenbaum",154,"Liriodendron tulipifera","Liriodendron","tulipifera","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"wes","WEs","WeiÃŸesche",156,"Fraxinus americana","Fraxinus","americana","es","LB","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU","aLB","ES","aLh","Fraxinus excelsior","Fraxinus excelsior"
"wap","WAp","Wildapfel",157,"Malus sylvestris","Malus","sylvestris","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Malus sylvestris","Malus sylvestris"
"wbi","WBi","Wildbirne",158,"Pyrus pyraster","Pyrus","pyraster","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Pyrus pyraster","Pyrus pyraster"
"wzw","WZw","Wildzwetschge",159,"Prunus cerasifera","Prunus","cerasifera","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"zei","ZEi","Zerreiche",160,"Quercus cerris","Quercus","cerris","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"ash","AsH","Aspenhybriden",161,"Populus hybrides","Populus","hybrides","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"edl","Edl","Edellaubholz",162,"Alii frons noble","Alii","frons noble","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ei","Ei","Eiche",163,"Quercus robur x petraea","Quercus","robur x petraea","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"wpa","WPa","Weisspappel",164,"Populus alba","Populus","alba","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"wwe","WWE","WeiÃŸweide",165,"Salix alba","Salix","alba","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"wde","WDe","Eingriffeliger WeiÃŸdorn",166,"Crataegus monogyna","Crataegus","monogyna","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"wds","WDs","WeiÃŸdorn",167,"Crataegus spp.","Crataegus","spp.","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"hpa","HPa","Hybrid Pappel",168,"Populus hybrides","Populus","hybrides","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"slb","sLb","sonstige Laubbaeume",199,"Alii frons","Alii","frons","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ta","Ta","Tanne",200,"Abies spp.","Abies","spp.","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"fi","Fi","Fichte",206,"Picea spp.","Picea","spp.","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"sfi","SFi","Sitka-Fichte",208,"Picea sitchensis","Picea","sitchensis","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"ki","Ki","Kiefer",209,"Pinus spp.","Pinus","spp.","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"dgl","Dgl","Douglasie",212,"Pseudotsuga menziestii","Pseudotsuga","menziestii","dgl","NB","Pseudotsuga menziesii",8,"dgl","fi","fi","FI","FI","aNB","FI","dgl","Pseudotsuga menziesii","Pseudotsuga menziesii"
"kib","KiB","Bankskiefer",213,"Pinus banksiana","Pinus","banksiana","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"bki","BKi","Bergkiefer",214,"Pinus mugo","Pinus","mugo","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"szy","SZy","Scheinzypresse",215,"Chamaecyparis lawsoniana","Chamaecyparis","lawsoniana","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"sta","STa","Silbertanne",216,"Abies concolor","Abies","concolor","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"dki","DKi","Drehkiefer",217,"Pinus contorta","Pinus","contorta","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"eib","Eib","Eibe",219,"Taxus baccata","Taxus","baccata","eib","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","Taxus baccata","Taxus baccata"
"hta","HTa","Hemlocktanne",220,"Tsuga spp.","Tsuga","spp.","snb","NB","Tsuga heterophylla",13,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"hlÃ¤","HLÃ¤","Hybridlaerche",221,"Larix eurolepis","Larix","eurolepis","lae","NB","Larix spp.",9,"lae","ki","ki","KI","LA","aNB","FI","lae","Larix spp.","Larix spp."
"ara","Ara","Japantanne",222,"Araucaria araucana","Araucaria","araucana","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"le","Le","Lebensbaum",223,"Thuja spp.","Thuja","spp.","snb","NB","Thuja plicata",12,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"lta","LTa","Lowes Tanne",224,"Abies â€¦","Abies","â€¦","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"mes","Mes","Urweltmammutbaum",225,"Metasequoia glyptostroboides","Metasequoia","glyptostroboides","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"nta","NTa","Nordmannstanne",226,"Abies nordmanniana","Abies","nordmanniana","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"ofi","OFi","Omorika Fichte",227,"Picea omorika","Picea","omorika","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"pki","PKi","Pechkiefer",228,"Pinus rigida","Pinus","rigida","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"pta","PTa","Purpurtanne",229,"Abies amabilis","Abies","amabilis","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"rzy","RZy","Rauchzypresse",230,"Calocedrus decurrens","Calocedrus","decurrens","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"se","Se","Riesenmammutbaum",232,"Sequoiadendron giganteum","Sequoiadendron","giganteum","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"tas","TaS","Sicheltanne",233,"Cryptomeria japonica","Cryptomeria","japonica","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"fis","FiS","Stechfichte",234,"Picea pungens","Picea","pungens","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"slÃ¤","SLÃ¤","Sumpflaerche",236,"Larix laricina","Larix","laricina","lae","NB","Larix spp.",9,"lae","ki","ki","KI","LA","aNB","FI","lae","Larix spp.","Larix spp."
"vta","VTa","Veits Tanne",237,"Abies veitchii","Abies","veitchii","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"wfi","WFi","WeiÃŸfichte",238,"Picea glauca","Picea","glauca","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
