ICode;ACode;KurzD;KurzE;LangD;LangE;Sort;Farbe;Zu_1;Zu_2;Zu_3;Zu_4;Zu_5;BFH_Bemerkung;Konv_Ba2_Ba3;AutoKonv_Ba2_Ba3;Gattung;Art;BaGr;ba_str;ba_tarif;ba_ekh;ba_ln;ba_BWI1;ba_BWI1Schulze;Zu_2k;Zu_2l;BaEFDAC_2010;Zu_Ba1;Zu_Ba1Schulze;Zu_Ba2;Zu_Ba3;Zu_Ba3korr;Zu_BaEU;Zu_BaStf;Zu_BaGattung;Zu_BaFBa;Zu_BaRaum;Zu_BaBWI;Zu_BaBWIb;Zu_BaBWIc;Zu_BaBWId;Zu_BaStammhoehe;Zu_BaWSE;Zu_BaWehamDF;Zu_BaWehamW;Zu_BaWehamW2012;Zu_BaBDat20;Zu_BaLN;Zu_Ba_EiBuFiKi;Zu_Ba_LhNh;Konv_Ba1_Ba2;bart_bze;bart_bze_genau;Zu_2yz;Konv_Ba2_Ba2yz;Zu_ba_ehk2012;Zu_Wachs2012;Zu_BaVerj_BBuBE;VerjMinN_ha_BBuBE;Zu_BaAlle;Zu_BaHolz_Alle;DNA
26;26;MKI;MKI;Murraykiefer;Pinus contorta and Pinus monticola;3267;NULL;0;1;0;NULL;NULL;;29;29;Pinus;contorta;KI ;KI ;KI ;KI ;N;KI ;SNB;0;1;NULL;30918;30930;26;NULL;29;30000;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;5;32000;31104;32000;26;Ki ;NULL;0;29;3;2;NULL;NULL;9999;9999;0
27;27;GKI;GKI;Gelbkiefer;Ponderosa pine (Pinus ponderosa);3268;NULL;0;1;0;NULL;NULL;;29;29;Pinus;ponderosa;KI ;KI ;KI ;KI ;N;KI ;SNB;0;1;NULL;30918;30930;27;NULL;29;30000;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30101;30102;5;32000;31104;32000;27;Ki ;NULL;0;29;3;2;NULL;NULL;9999;9999;0
29;29;SOKI;SOKI;Sonstige Kiefern;other pines;3269;NULL;0;1;1;NULL;NULL;Achtung: Bei BWI2 (lange Liste) war unter Icode=29 auch Weymouthkiefer enthalten, sie ist bei BWI3 separat mit Icode=25 heraus zu lösen;29;29;Pinus;(sonstige);KI ;KI ;KI ;KI ;N;KI ;SNB;1;0;26007999;30918;30930;29;29;29;30000;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;5;32000;31104;32000;29;Ki ;NULL;1;29;3;2;12020;8000;9999;9999;0
30;30;WTA;WTA;Weißtanne;silver fir (Abies alba);3221;NULL;0;1;1;NULL;NULL;;30;30;Abies;alba;TA ;TA ;TA ;TA ;N;TA ;TA ;1;1;26001006;30931;30931;30;30;30;30001;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;30;WTa;WTa;1;30;1;3;12990;32767;9999;9999;1
31;31;ATA;ATA;Amerikanische Edeltanne;noble fir (Abies procera);3222;NULL;0;1;0;NULL;NULL;;39;39;Abies;procera;TA ;TA ;TA ;TA ;N;TA ;SNB;0;1;NULL;30931;30930;31;NULL;39;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;31;Ta ;NULL;0;39;1;3;NULL;NULL;9999;9999;0
32;32;CTA;CTA;Coloradotanne;Abies concolor (Colorado white fir);3223;NULL;0;1;0;NULL;NULL;;39;39;Abies;concolor;TA ;TA ;TA ;TA ;N;TA ;SNB;0;1;NULL;30931;30930;32;NULL;39;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;32;Ta ;NULL;0;39;1;3;NULL;NULL;9999;9999;0
33;33;KTA;KTA;Küstentanne;Grand fir (Abies grandis);3224;NULL;0;1;1;NULL;NULL;BWI2 Code 39 (kurze Liste) oder 33 (lange Liste), evtl. beim Einzelbaum anhand BWI1-Codierung 920 bzw. 'KTA' rekonstruierbar;33;33;Abies;grandis;TA ;TA ;TA ;TA ;N;TA ;KTA;0;1;NULL;30920;30920;33;33;33;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30103;30104;4;32000;31103;32000;33;KTa;KTa;0;39;1;4;12990;32767;9999;9999;0
34;34;NITA;NITA;Nikkotanne;Nikko fir (Abies homolepis);3225;NULL;0;1;0;NULL;NULL;;39;39;Abies;homolepis;TA ;TA ;TA ;TA ;N;TA ;SNB;0;1;NULL;30931;30930;34;NULL;39;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;34;Ta ;NULL;0;39;1;3;NULL;NULL;9999;9999;0
35;35;NOTA;NOTA;Nordmannstanne;Nordmann fir (Abies nordmanniana);3226;NULL;0;1;0;NULL;NULL;;39;39;Abies;nordmanniana;TA ;TA ;TA ;TA ;N;TA ;SNB;0;1;NULL;30931;30930;35;NULL;39;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;35;Ta ;NULL;0;39;1;3;NULL;NULL;9999;9999;0
36;36;VTA;VTA;Veitchtanne;Veitch´s Fir (Abies veitchii);3227;NULL;0;1;0;NULL;NULL;;39;39;Abies;veitchii;TA ;TA ;TA ;TA ;N;TA ;SNB;0;1;NULL;30931;30930;36;NULL;39;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;36;Ta ;NULL;0;39;1;3;NULL;NULL;9999;9999;0
39;39;SOTA;SOTA;Sonstige Tannen;other firs;3228;NULL;0;1;1;NULL;NULL;Achtung: Bei BWI2 (lange Liste) war unter Icode=39 auch Küstentanne enthalten, sie ist bei BWI3 separat mit Icode=33 heraus zu lösen;39;39;Abies;(sonstige);TA ;TA ;TA ;TA ;N;TA ;SNB;1;0;26001999;30931;30930;39;39;39;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;30103;3;32000;31103;32000;39;Ta ;NULL;1;39;1;3;12990;32767;9999;9999;0
40;40;DGL;DGL;Douglasie;Douglas fir (Pseudotsuga menziesii);3241;NULL;0;1;1;NULL;NULL;;40;40;Pseudotsuga;menziesii;DGL;DGL;DGL;DGL;N;DGL;DGL;1;1;26002001;30907;30907;40;40;40;30000;32004;32040;30223;5;7;7;7;17;NULL;30012;30103;30103;30104;8;32000;31103;32000;40;Dgl;Dgl;1;40;2;4;12040;4000;9999;9999;1
50;50;ELA;ELA;Europäische Lärche;European larch (Larix decidua);3281;NULL;0;1;1;NULL;NULL;;50;50;Larix;decidua;LAE;ELA;LAE;LAE;N;ELA;ELA;1;1;26005002;30910;30910;50;50;50;30001;32005;32051;30224;8;9;9;9;19;NULL;30012;30101;30105;30105;10;32000;31104;32000;50;ELa;ELa;1;50;4;5;12050;4000;9999;9999;0
51;51;JLA;JLA;Japanische Lärche (+Hybrid);Japanese larch (Larix kaempferi +hybrids);3282;NULL;0;1;1;NULL;NULL;;51;51;Larix;kaempferi;LAE;JLA;LAE;LAE;N;JLA;JLA;1;1;26005001;30916;30916;51;51;51;30000;32006;32051;30224;8;9;9;9;19;NULL;30012;30101;30105;30105;11;32000;31104;32000;51;JLa;JLa;1;51;4;5;12050;4000;9999;9999;0
90;90;SONB;SONB;sonstige Nadelbäume;other coniferous trees;3209;NULL;0;1;1;NULL;NULL;;90;90;_(Nb.);(sonstige);FI ;FI ;FI ;FI ;N;SNB;SNB;1;0;998;30930;30930;90;90;90;30000;32001;32090;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;14;32000;31103;32000;90;sNd;NULL;1;90;0;1;12990;32767;9999;9999;0
91;91;LB;LB;Lebensbaum;Thuja spec.;3210;NULL;0;1;0;NULL;NULL;;90;90;Thuja;spec.;FI ;FI ;FI ;FI ;N;THU;THU;0;1;NULL;30932;30932;91;NULL;90;30000;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;12;32000;31103;32000;91;sNd;NULL;0;90;0;1;NULL;NULL;9999;9999;0
92;92;HT;HT;Hemlockstanne;hemlock (Tsuga spec.);3211;NULL;0;1;0;NULL;NULL;;90;90;Tsuga;spec.;FI ;FI ;FI ;FI ;N;TSU;TSU;0;1;NULL;30933;30933;92;NULL;90;30000;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;13;32000;31103;32000;92;sNd;NULL;0;90;0;1;NULL;NULL;9999;9999;0
93;93;MAM;MAM;Mammutbaum;redwood (Sequoioideae);3212;NULL;0;1;0;NULL;NULL;;90;90;Metasequoia;spec.;FI ;FI ;FI ;FI ;N;SNB;SNB;0;1;NULL;30930;30930;93;NULL;90;30000;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;14;32000;31103;32000;93;sNd;NULL;0;90;0;1;NULL;NULL;9999;9999;0
94;94;EIB;EIB;Eibe;European yew (Taxus baccata);3213;NULL;0;1;1;NULL;NULL;;94;94;Taxus;baccata;FI ;FI ;FI ;FI ;N;EIB;SNB;1;1;29001001;30930;30930;94;94;94;30001;32001;32094;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;14;32000;31103;32000;94;sNd;NULL;1;94;0;1;12990;32767;9999;9999;0
95;95;SZ;SZ;Lawsonszypresse;Lawson cypress (Chamaecyparis lawsoniana);3214;NULL;0;1;0;NULL;NULL;;90;90;Chamaecyparis;lawsoniana;FI ;FI ;FI ;FI ;N;SNB;SNB;0;1;NULL;30930;30930;95;NULL;90;30000;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;14;32000;31103;32000;95;sNd;NULL;0;90;0;1;NULL;NULL;9999;9999;0
99;99;ANB;ANB;Übrige Nadelbäume;remaining coniferous trees;3215;NULL;0;1;0;NULL;NULL;;90;90;_(ÜNB);spec.;FI ;FI ;FI ;FI ;N;SNB;SNB;0;1;NULL;30930;30930;99;NULL;90;30000;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;14;32000;31103;32000;99;sNd;NULL;0;90;0;1;NULL;NULL;9999;9999;0
100;100;BU;BU;Buche;beech;3111;NULL;0;1;1;NULL;NULL;;100;100;Fagus;sylvatica;BU ;BU ;BU ;BU ;L;BU ;BU ;1;1;36001001;30906;30906;100;100;100;30001;32007;32100;30226;1;1;1;1;11;1;30016;30104;30106;30110;15;31000;31102;31000;100;RBu;RBu;1;100;5;10;12100;5500;9999;9999;1
110;110;SEI;SEI;Stieleiche;English oak (Quercus robur);3101;NULL;0;1;1;NULL;NULL;;110;110;Quercus;robur;EI ;EI ;EI ;EI ;L;EI ;EI ;1;1;36004014;30908;30908;110;110;110;30001;32008;32112;30227;2;2;2;2;12;2;30013;30104;30107;30111;17;31000;31101;31000;110;SEi;SEi;1;110;6;11;12110;6500;9999;9999;1
111;111;TEI;TEI;Traubeneiche;sessile oak (Quercus petraea);3102;NULL;0;1;1;NULL;NULL;;111;111;Quercus;petraea;EI ;EI ;EI ;EI ;L;EI ;EI ;1;1;36004011;30908;30908;111;111;111;30001;32008;32112;30227;2;2;2;2;12;2;30013;30104;30107;30111;17;31000;31101;31000;111;TEi;TEi;1;111;6;11;12110;6500;9999;9999;1
112;112;REI;REI;Roteiche;Northern red oak (Quercus rubra);3103;NULL;0;1;1;NULL;NULL;;112;112;Quercus;rubra;EI ;REI;EI ;EI ;L;REI;REI;1;1;36004001;30924;30924;112;112;112;30000;32009;32112;30227;2;2;2;2;12;2;30011;30104;30106;30110;18;31000;31101;31000;112;REi;REi;1;112;6;10;12110;6500;9999;9999;0
113;113;ZEI;ZEI;Zerreiche;Turkey oak (Quercus cerris);3104;NULL;0;1;0;NULL;NULL;;190;190;Quercus;cerris;EI ;EI ;EI ;EI ;L;EI ;BLB;1;1;36004008;30908;30904;113;NULL;190;30001;32008;32112;30227;2;2;2;2;12;2;30011;30104;30107;30111;17;31000;31101;31000;113;Ei ;NULL;1;113;6;11;NULL;NULL;9999;9999;0
114;114;SUEI;SUEI;Sumpfeiche;pin oak (Quercus palustris);3105;NULL;0;1;0;NULL;NULL;;190;190;Quercus;palustris;EI ;EI ;EI ;EI ;L;EI ;BLB;0;1;NULL;30908;30904;114;NULL;190;30000;32008;32112;30227;2;2;2;2;12;2;30011;30104;30107;30111;17;31000;31101;31000;114;Ei ;NULL;0;190;6;11;NULL;NULL;9999;9999;0
120;120;ES;ES;Gemeine Esche;common ash (Fraxinus excelsior);3121;NULL;0;1;1;NULL;NULL;;120;120;Fraxinus;excelsior;ALH;ES ;BU ;ALH;L;ES ;ES ;1;1;139004003;30912;30912;120;120;120;30001;32010;32120;30230;1;3;3;3;14;3;30011;30104;30106;30112;21;31000;31102;31000;120;GEs;GEs;1;120;5;12;12120;4000;9999;9999;0
121;121;WES;WES;Weißesche;white ash (Fraxinus americana);3122;NULL;0;1;0;NULL;NULL;;190;190;Fraxinus;americana;ALH;ES ;BU ;ALH;L;ES ;BLB;0;1;NULL;30912;30904;121;NULL;190;30001;32010;32120;30230;1;3;3;3;14;3;30011;30104;30107;30112;21;31000;31102;31000;121;sLb;NULL;0;190;5;12;NULL;NULL;9999;9999;0
130;130;HBU;HBU;Hainbuche (Weißbuche);hornbeam;3123;NULL;0;1;1;NULL;NULL;;130;130;Carpinus;betulus;ALH;BU ;BU ;ALH;L;HBU;HBU;1;1;35001001;30915;30915;130;130;130;30001;32007;32130;30231;1;3;3;3;14;3;30011;30104;30108;30119;16;31000;31102;31000;130;Hbu;Hbu;1;130;5;19;12130;4000;9999;9999;0
140;140;BAH;BAH;Bergahorn;sycamore maple (Acer pseudoplatanus);3124;NULL;0;1;1;NULL;NULL;;140;140;Acer;pseudoplatanus;ALH;ES ;BU ;ALH;L;BAH;BAH;1;1;95001005;30902;30902;140;140;140;30001;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;30114;23;31000;31102;31000;140;BAh;BAh;1;140;5;14;12140;5500;9999;9999;0
141;141;SAH;SAH;Spitzahorn;Norway maple (Acer platanoides);3125;NULL;0;1;1;NULL;NULL;;141;141;Acer;platanoides;ALH;ES ;BU ;ALH;L;SAH;SAH;1;1;95001001;30926;30926;141;141;141;30001;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;30114;24;31000;31102;31000;141;SAh;SAh;1;141;5;14;12140;5500;9999;9999;0
142;142;FAH;FAH;Feldahorn;field maple (Acer campestre);3126;NULL;0;1;1;NULL;NULL;;142;142;Acer;campestre;ALH;ES ;BU ;ALH;L;FAH;FAH;1;1;95001003;30913;30913;142;142;142;30001;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;30114;25;31000;31102;31000;142;sLb;NULL;1;141;5;14;12140;5500;9999;9999;0
143;143;EAH;EAH;Eschenblättriger Ahorn;box elder (Acer negundo);3127;NULL;0;1;0;NULL;NULL;;190;190;Acer;negundo;ALH;ES ;BU ;ALH;L;AH ;AH ;0;1;NULL;30901;30901;143;NULL;190;30000;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;30114;22;31000;31102;31000;143;sLb;NULL;0;190;5;14;NULL;NULL;9999;9999;0
144;144;SIAH;SIAH;Silberahorn;silver maple (Acer saccharinum);3128;NULL;0;1;0;NULL;NULL;;190;190;Acer;saccharinum;ALH;ES ;BU ;ALH;L;AH ;AH ;0;1;NULL;30901;30901;144;NULL;190;30000;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;30114;22;31000;31102;31000;144;sLb;NULL;0;190;5;14;NULL;NULL;9999;9999;0
150;150;LI;LI;Linde (heimische Arten);linden tree (indigenous species);3129;NULL;0;1;1;NULL;NULL;;150;150;Tilia;spec.;ALH;ES ;BU ;ALH;L;LI ;LI ;1;1;105001999;30922;30922;150;150;150;30001;32010;32150;30231;1;3;3;3;14;3;30011;30104;30107;30114;27;31000;31102;31000;150;Li ;Li ;1;150;5;19;12150;4000;9999;9999;0
160;160;ROB;ROB;Robinie;black locust (Robinia pseudoacacia);3130;NULL;0;1;1;NULL;NULL;;160;160;Robinia;pseudoacacia;ALH;ES ;BU ;ALH;L;ROB;ROB;1;1;81030001;30925;30925;160;160;160;30000;32010;32160;30231;1;3;3;3;14;3;30011;30104;30107;30114;31;31000;31102;31000;160;Rob;Rob;1;160;5;19;12160;4000;9999;9999;0
170;170;UL;UL;Ulme (Rüster), heimische Arten;elm, native species;3131;NULL;0;1;1;NULL;NULL;;170;170;Ulmus;spec.;ALH;ES ;BU ;ALH;L;UL ;UL ;1;1;37001999;30934;30934;170;170;170;30001;32010;32170;30231;1;3;3;3;14;3;30011;30104;30107;30114;30;31000;31102;31000;170;Ul ;Ul ;1;170;5;19;12170;4000;9999;9999;0
180;180;RKA;RKA;Rosskastanie;horse chestnut (Aesculus hippocastanum);3132;NULL;0;1;0;NULL;NULL;;190;190;Aesculus;hippocastanum;ALH;ES ;BU ;ALH;L;KA ;KA ;1;1;97001001;30917;30917;180;NULL;190;30001;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;30114;33;31000;31102;31000;180;sLb;NULL;1;180;5;19;NULL;NULL;9999;9999;0
181;181;EKA;EKA;Edelkastanie;chestnut (Castanea sativa);3133;NULL;0;1;1;NULL;NULL;;181;181;Castanea;sativa;ALH;ES ;BU ;ALH;L;KA ;KA ;1;1;36003001;30917;30917;181;181;181;30001;32010;32181;30231;1;3;3;3;14;3;30011;30104;30108;30114;33;31000;31102;31000;181;EKa;EKa;1;181;5;19;12990;32767;9999;9999;0
190;190;SOLH;SOLH;Sonstige Lb. mit hoher Lebensdauer;misc. deciduous trees with long life expectancy;3134;NULL;0;1;1;NULL;NULL;;190;190;_(ALH);(sonstige);ALH;ES ;BU ;ALH;L;SLB;BLB;1;0;999;30929;30904;190;190;190;30000;32010;32190;30231;1;3;3;3;14;3;30011;30104;30107;30114;35;31000;31102;31000;190;sLb;NULL;1;190;5;19;12990;32767;9999;9999;0
191;191;SPE;SPE;Speierling;service tree (Sorbus domestica);3135;NULL;0;1;1;NULL;NULL;;191;191;Sorbus;domestica;ALH;ES ;BU ;ALH;L;SLB;BLB;1;1;80028001;30929;30904;191;191;191;30001;32010;32295;30231;1;3;3;3;14;3;30011;30104;30106;30114;35;31000;31102;31000;191;sLb;NULL;1;191;5;19;12990;32767;9999;9999;0
192;192;MAU;MAU;Weißer Maulbeerbaum;white mulberry (Morus alba);3136;NULL;0;1;0;NULL;NULL;;199;199;Morus;alba;ALH;ES ;BU ;ALH;L;SLB;BLB;1;1;38002002;30929;30904;192;NULL;190;30001;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30109;30114;35;31000;31102;31000;192;sLb;NULL;1;NULL;5;19;NULL;NULL;9999;9999;0
193;193;MEB;MEB;Echte Mehlbeere;common whitebeam (Sorbus aria);3137;NULL;0;1;1;NULL;NULL;;193;193;Sorbus;aria;ALH;ES ;BU ;ALH;L;SLB;SLB;1;1;80028005;30929;30929;193;193;193;30001;32010;32295;30231;1;3;3;3;14;3;30011;30104;30108;30114;35;31000;31102;31000;193;sLb;NULL;1;193;5;19;12990;32767;9999;9999;0
194;194;NUS;NUS;Nußbaum-Arten (Wal-, Schwarz-, Butternuß);English walnut (Juglans regia), Eastern black walnut (J. nigra), butternut (J. cinerea);3138;NULL;0;1;0;NULL;NULL;;199;199;Juglans;spec.;ALH;ES ;BU ;ALH;L;SLB;SLB;1;1;33001999;30929;30929;194;NULL;190;30001;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;30114;35;31000;31102;31000;194;sLb;NULL;1;194;5;19;NULL;NULL;9999;9999;0
195;195;STE;STE;Stechpalme;common holly (Ilex aquifolium);3139;NULL;0;1;0;NULL;NULL;;199;199;Ilex;aquifolium;ALH;ES ;BU ;ALH;L;SLB;SLB;1;1;99001001;30929;30929;195;NULL;190;30001;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;30114;35;31000;31102;31000;195;sLb;NULL;1;195;5;19;NULL;NULL;9999;9999;0
196;196;PLA;PLA;Ahornblättrige Platane;London plane (Platanus x acerifolia);3140;NULL;0;1;0;NULL;NULL;;199;199;Platanus;x hispanica;ALH;ES ;BU ;ALH;L;SLB;SLB;0;1;NULL;30929;30929;196;NULL;190;30000;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;30114;35;31000;31102;31000;196;sLb;NULL;0;NULL;5;19;NULL;NULL;9999;9999;0
