id,kurz,lang,gueltig_ab,gueltig_bis
v,V,"V - Verebnung, Die Verebnung ist ein Reliefformtyp mit einer Neigung < 1 % bZw. 2 %; er lässt sich aufgrund Seiner vorherrschenden geringen Neigung keinem anderen Reliefformtyp zuorden",2022-01-01,
oaa,OAA,"OA,A - Flussauenbereich, asymmetrisches Querprofi",2022-01-01,2022-01-01
oas,OAS,"OA,S - Flussauenbereich, symmetrisches Querprofi",2022-01-01,2022-01-01
oafa,OAFA,"OA,F,A - flaches Querprofil (Tiefe : Breite < 1 : 40), asymmetrisches Querprofi",2022-01-01,2022-01-01
oafs,OAFS,"OA,F,S - flaches Querprofil (Tiefe : Breite < 1 : 40), symmetrisches Querprofi",2022-01-01,2022-01-01
oana,OANA,"OA,N,A - normales Querprofil, asymmetrisches Querprofi",2022-01-01,2022-01-01
oans,OANS,"OA,N,S - normales Querprofil, symmetrisches Querprofi",2022-01-01,2022-01-01
oaua,OAUA,"OA,U,A - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), asymmetrisches Querprofi",2022-01-01,2022-01-01
oaus,OAUS,"OA,U,S - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), symmetrisches Querprofi",2022-01-01,2022-01-01
ofa,OFA,"OF,A - flächenhafte, flach muldenförmige, offene Hohlform, asymmetrisches Querprofi",2022-01-01,2022-01-01
ofs,OFS,"OF,S - flächenhafte, flach muldenförmige, offene Hohlform, symmetrisches Querprofi",2022-01-01,2022-01-01
offa,OFFA,"OF,F,A - flaches Querprofil (Tiefe : Breite < 1 : 40), asymmetrisches Querprofi",2022-01-01,2022-01-01
offs,OFFS,"OF,F,S - flaches Querprofil (Tiefe : Breite < 1 : 40), symmetrisches Querprofi",2022-01-01,2022-01-01
ofna,OFNA,"OF,N,A - normales Querprofil, asymmetrisches Querprofi",2022-01-01,2022-01-01
ofns,OFNS,"OF,N,S - normales Querprofil, symmetrisches Querprofi",2022-01-01,2022-01-01
ofua,OFUA,"OF,U,A - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), asymmetrisches Querprofi",2022-01-01,2022-01-01
ofus,OFUS,"OF,U,S - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), symmetrisches Querprofi",2022-01-01,2022-01-01
oka,OKA,"OK,A - kerbförmige, offene Hohlform (Kerbtal), asymmetrisches Querprofi",2022-01-01,2022-01-01
oks,OKS,"OK,S - kerbförmige, offene Hohlform (Kerbtal), symmetrisches Querprofi",2022-01-01,2022-01-01
okfa,OKFA,"OK,F,A - flaches Querprofil (Tiefe : Breite < 1 : 40), asymmetrisches Querprofi",2022-01-01,2022-01-01
okfs,OKFS,"OK,F,S - flaches Querprofil (Tiefe : Breite < 1 : 40), symmetrisches Querprofi",2022-01-01,2022-01-01
okna,OKNA,"OK,N,A - normales Querprofil, asymmetrisches Querprofi",2022-01-01,2022-01-01
okns,OKNS,"OK,N,S - normales Querprofil, symmetrisches Querprofi",2022-01-01,2022-01-01
okua,OKUA,"OK,U,A - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), asymmetrisches Querprofi",2022-01-01,2022-01-01
okus,OKUS,"OK,U,S - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), symmetrisches Querprofi",2022-01-01,2022-01-01
oma,OMA,"OM,A - gerundete, offene Hohlform (Muldental), asymmetrisches Querprofi",2022-01-01,2022-01-01
oms,OMS,"OM,S - gerundete, offene Hohlform (Muldental), symmetrisches Querprofi",2022-01-01,2022-01-01
omfa,OMFA,"OM,F,A - flaches Querprofil (Tiefe : Breite < 1 : 40), asymmetrisches Querprofi",2022-01-01,2022-01-01
omfs,OMFS,"OM,F,S - flaches Querprofil (Tiefe : Breite < 1 : 40), symmetrisches Querprofi",2022-01-01,2022-01-01
omna,OMNA,"OM,N,A - normales Querprofil, asymmetrisches Querprofi",2022-01-01,2022-01-01
omns,OMNS,"OM,N,S - normales Querprofil, symmetrisches Querprofi",2022-01-01,2022-01-01
omua,OMUA,"OM,U,A - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), asymmetrisches Querprofi",2022-01-01,2022-01-01
omus,OMUS,"OM,U,S - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), symmetrisches Querprofi",2022-01-01,2022-01-01
osa,OSA,"OS,A - sohlenförmige, offene Hohlform (Sohlental), symmetrisches Querprofi",2022-01-01,2022-01-01
oss,OSS,"OS,S - sohlenförmige, offene Hohlform (Sohlental), symmetrisches Querprofi",2022-01-01,2022-01-01
osfa,OSFA,"OS,F,A - flaches Querprofil (Tiefe : Breite < 1 : 40), symmetrisches Querprofi",2022-01-01,2022-01-01
osfs,OSFS,"OS,F,S - flaches Querprofil (Tiefe : Breite < 1 : 40), symmetrisches Querprofi",2022-01-01,2022-01-01
osna,OSNA,"OS,N,A - normales Querprofil, symmetrisches Querprofi",2022-01-01,2022-01-01
osns,OSNS,"OS,N,S - normales Querprofil, symmetrisches Querprofi",2022-01-01,2022-01-01
osua,OSUA,"OS,U,A - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), symmetrisches Querprofi",2022-01-01,2022-01-01
osus,OSUS,"OS,U,S - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2), symmetrisches Querprofi",2022-01-01,2022-01-01
a,A,asymmetrisches Querprofi,2022-01-01,
s,S,symmetrisches Querprofi,2022-01-01,
