bfhnr;bart;N-Gehalt [g/kg];Moor oder nicht;;;;;;;;
30125;Gewoehnliche Kiefer;17,92;nicht Moor;;;;;;;;
30125;Gewoehnliche Kiefer;18,32;nicht Moor;;;;;;;;
30127;Gewoehnliche Fichte;15,97;nicht Moor;;;;;;;;
30127;Gewoehnliche Fichte;15,58;nicht Moor;;;;;;;;
30127;Gewoehnliche Fichte;13,33;nicht Moor;;;;;;;;
30127;Gewoehnliche Kiefer;16,71;nicht Moor;;;;;;;;
30127;Gewoehnliche Kiefer;17,11;nicht Moor;;;;;;;;
30128;Gewoehnliche Kiefer;17,25;nicht Moor;;;;;;;;
30128;Gewoehnliche Kiefer;15,81;nicht Moor;;;;;;;;
30129;Gewoehnliche Fichte;17,09;nicht Moor;;;;;;;;
30129;Gewoehnliche Fichte;15,92;nicht Moor;;;;;;;;
30129;Gewoehnliche Fichte;13,59;nicht Moor;;;;;;;;
30129;Gewoehnliche Kiefer;16,69;nicht Moor;;;;;;;;
30129;Gewoehnliche Kiefer;16,51;nicht Moor;;;;;;;;
30130;Gewoehnliche Kiefer;18,91;nicht Moor;;;;;;;;
30130;Gewoehnliche Kiefer;16,81;nicht Moor;;;;;;;;
30131;Gewoehnliche Kiefer;23,57;nicht Moor;;;;;;;;
30131;Gewoehnliche Kiefer;25,12;nicht Moor;;;;;;;;
30132;Gewoehnliche Fichte;17,59;nicht Moor;;;;;;;;
30132;Gewoehnliche Fichte;16,44;nicht Moor;;;;;;;;
30132;Gewoehnliche Fichte;15,04;nicht Moor;;;;;;;;
30132;Gewoehnliche Kiefer;17,76;nicht Moor;;;;;;;;
30132;Gewoehnliche Kiefer;16,79;nicht Moor;;;;;;;;
30138;Gewoehnliche Kiefer;17,03;nicht Moor;;;;;;;;
30138;Gewoehnliche Kiefer;18,26;nicht Moor;;;;;;;;
30139;Gewoehnliche Kiefer;17,95;nicht Moor;;;;;;;;
30139;Gewoehnliche Kiefer;17,14;nicht Moor;;;;;;;;
30141;Gewoehnliche Kiefer;16,25;nicht Moor;;;;;;;;
30141;Gewoehnliche Kiefer;15,08;nicht Moor;;;;;;;;
30142;Gewoehnliche Kiefer;17,65;nicht Moor;;;;;;;;
30142;Gewoehnliche Kiefer;17,23;nicht Moor;;;;;;;;
30143;Gewoehnliche Fichte;14,37;nicht Moor;;;;;;;;
30143;Gewoehnliche Fichte;14,64;nicht Moor;;;;;;;;
30143;Gewoehnliche Fichte;13,65;nicht Moor;;;;;;;;
30147;Gewoehnliche Kiefer;17,06;nicht Moor;;;;;;;;
30147;Gewoehnliche Kiefer;19,04;nicht Moor;;;;;;;;
30148;Gewoehnliche Fichte;15,38;nicht Moor;;;;;;;;
30148;Gewoehnliche Fichte;16,64;nicht Moor;;;;;;;;
30148;Gewoehnliche Fichte;15,48;nicht Moor;;;;;;;;
30148;Gewoehnliche Kiefer;18,48;nicht Moor;;;;;;;;
30148;Gewoehnliche Kiefer;20;nicht Moor;;;;;;;;
30150;Gewoehnliche Kiefer;16,54;nicht Moor;;;;;;;;
30150;Gewoehnliche Kiefer;16,23;nicht Moor;;;;;;;;
30157;Gewoehnliche Kiefer;17,85;nicht Moor;;;;;;;;
30157;Gewoehnliche Kiefer;19,95;nicht Moor;;;;;;;;
30158;Gewoehnliche Kiefer;22,39;nicht Moor;;;;;;;;
30158;Gewoehnliche Kiefer;19,71;nicht Moor;;;;;;;;
30159;Gewoehnliche Fichte;17,34;nicht Moor;;;;;;;;
30159;Gewoehnliche Fichte;16,31;nicht Moor;;;;;;;;
30159;Gewoehnliche Fichte;13,93;nicht Moor;;;;;;;;
30160;Gewoehnliche Kiefer;18,16;nicht Moor;;;;;;;;
30160;Gewoehnliche Kiefer;18,37;nicht Moor;;;;;;;;
30161;Gewoehnliche Kiefer;17,02;nicht Moor;;;;;;;;
30161;Gewoehnliche Kiefer;18,61;nicht Moor;;;;;;;;
30163;Gewoehnliche Kiefer;14,78;nicht Moor;;;;;;;;
30163;Gewoehnliche Kiefer;16,05;nicht Moor;;;;;;;;
30164;Gewoehnliche Fichte;18,5;nicht Moor;;;;;;;;
30164;Gewoehnliche Fichte;15,56;nicht Moor;;;;;;;;
30164;Gewoehnliche Fichte;14,75;nicht Moor;;;;;;;;
30164;Gewoehnliche Kiefer;20,29;nicht Moor;;;;;;;;
30164;Gewoehnliche Kiefer;20,77;nicht Moor;;;;;;;;
30167;Gewoehnliche Kiefer;20,44;nicht Moor;;;;;;;;
30167;Gewoehnliche Kiefer;17,88;nicht Moor;;;;;;;;
30168;Gewoehnliche Kiefer;16,2;nicht Moor;;;;;;;;
30168;Gewoehnliche Kiefer;18;nicht Moor;;;;;;;;
30169;Gewoehnliche Kiefer;17,1;nicht Moor;;;;;;;;
30169;Gewoehnliche Kiefer;19,7;nicht Moor;;;;;;;;
30170;Gewoehnliche Fichte;18,05;nicht Moor;;;;;;;;
30170;Gewoehnliche Fichte;15,61;nicht Moor;;;;;;;;
30170;Gewoehnliche Fichte;13,67;nicht Moor;;;;;;;;
30170;Gewoehnliche Kiefer;19,41;nicht Moor;;;;;;;;
30170;Gewoehnliche Kiefer;16,99;nicht Moor;;;;;;;;
30171;Gewoehnliche Fichte;23,71;nicht Moor;;;;;;;;
30171;Gewoehnliche Fichte;19,43;nicht Moor;;;;;;;;
30171;Gewoehnliche Fichte;19,95;nicht Moor;;;;;;;;
30171;Gewoehnliche Kiefer;22,54;nicht Moor;;;;;;;;
30171;Gewoehnliche Kiefer;27,69;nicht Moor;;;;;;;;
30179;Gewoehnliche Kiefer;19,51;nicht Moor;;;;;;;;
30179;Gewoehnliche Kiefer;19,86;nicht Moor;;;;;;;;
30182;Gewoehnliche Fichte;20,33;nicht Moor;;;;;;;;
30182;Gewoehnliche Fichte;18,3;nicht Moor;;;;;;;;
30182;Gewoehnliche Fichte;16,42;nicht Moor;;;;;;;;
30186;Gewoehnliche Kiefer;17,46;nicht Moor;;;;;;;;
30186;Gewoehnliche Kiefer;17,8;nicht Moor;;;;;;;;
30191;Gewoehnliche Kiefer;18,08;nicht Moor;;;;;;;;
30191;Gewoehnliche Kiefer;17,03;nicht Moor;;;;;;;;
30192;Gewoehnliche Fichte;17,77;nicht Moor;;;;;;;;
30192;Gewoehnliche Fichte;15,97;nicht Moor;;;;;;;;
30192;Gewoehnliche Fichte;15,25;nicht Moor;;;;;;;;
30192;Gewoehnliche Kiefer;18,86;nicht Moor;;;;;;;;
30192;Gewoehnliche Kiefer;16,84;nicht Moor;;;;;;;;
30501;Gewoehnliche Kiefer;17,99;nicht Moor;;;;;;;;
30501;Gewoehnliche Kiefer;17,54;nicht Moor;;;;;;;;
30502;Gewoehnliche Kiefer;19,94;nicht Moor;;;;;;;;
30502;Gewoehnliche Kiefer;19,95;nicht Moor;;;;;;;;
30503;Gewoehnliche Kiefer;19,26;nicht Moor;;;;;;;;
30503;Gewoehnliche Kiefer;19,67;nicht Moor;;;;;;;;
30504;Gewoehnliche Kiefer;16,58;nicht Moor;;;;;;;;
30504;Gewoehnliche Kiefer;18,34;nicht Moor;;;;;;;;
30505;Gewoehnliche Kiefer;18,13;nicht Moor;;;;;;;;
30505;Gewoehnliche Kiefer;19,38;nicht Moor;;;;;;;;
30507;Gewoehnliche Fichte;16,19;nicht Moor;;;;;;;;
30507;Gewoehnliche Fichte;14,1;nicht Moor;;;;;;;;
30507;Gewoehnliche Fichte;14,16;nicht Moor;;;;;;;;
30507;Gewoehnliche Kiefer;16,45;nicht Moor;;;;;;;;
30507;Gewoehnliche Kiefer;16,44;nicht Moor;;;;;;;;
30508;Gewoehnliche Kiefer;17,44;nicht Moor;;;;;;;;
30508;Gewoehnliche Kiefer;17,26;nicht Moor;;;;;;;;
30509;Gewoehnliche Kiefer;18,93;nicht Moor;;;;;;;;
30509;Gewoehnliche Kiefer;18,67;nicht Moor;;;;;;;;
30510;Gewoehnliche Fichte;19,18;nicht Moor;;;;;;;;
30510;Gewoehnliche Fichte;19,39;nicht Moor;;;;;;;;
30510;Gewoehnliche Fichte;18,73;nicht Moor;;;;;;;;
30511;Gewoehnliche Kiefer;17,77;nicht Moor;;;;;;;;
30511;Gewoehnliche Kiefer;16,32;nicht Moor;;;;;;;;
30513;Gewoehnliche Kiefer;16,58;nicht Moor;;;;;;;;
30513;Gewoehnliche Kiefer;16,22;nicht Moor;;;;;;;;
30514;Gewoehnliche Fichte;18,9;nicht Moor;;;;;;;;
30514;Gewoehnliche Fichte;17,71;nicht Moor;;;;;;;;
30514;Gewoehnliche Fichte;16,93;nicht Moor;;;;;;;;
30514;Gewoehnliche Kiefer;18,89;nicht Moor;;;;;;;;
30514;Gewoehnliche Kiefer;17,02;nicht Moor;;;;;;;;
30515;Gewoehnliche Fichte;17,14;nicht Moor;;;;;;;;
30515;Gewoehnliche Fichte;15,02;nicht Moor;;;;;;;;
30515;Gewoehnliche Fichte;13,46;nicht Moor;;;;;;;;
30516;Gewoehnliche Kiefer;20,72;nicht Moor;;;;;;;;
30516;Gewoehnliche Kiefer;21,04;nicht Moor;;;;;;;;
30517;Gewoehnliche Fichte;18,57;nicht Moor;;;;;;;;
30517;Gewoehnliche Fichte;15,73;nicht Moor;;;;;;;;
30517;Gewoehnliche Fichte;14,32;nicht Moor;;;;;;;;
30519;Gewoehnliche Kiefer;25,71;nicht Moor;;;;;;;;
30519;Gewoehnliche Kiefer;32,28;nicht Moor;;;;;;;;
30521;Gewoehnliche Fichte;17,57;nicht Moor;;;;;;;;
30521;Gewoehnliche Fichte;15,29;nicht Moor;;;;;;;;
30521;Gewoehnliche Fichte;15,83;nicht Moor;;;;;;;;
30523;Gewoehnliche Kiefer;22,55;nicht Moor;;;;;;;;
30523;Gewoehnliche Kiefer;23,23;nicht Moor;;;;;;;;
30601;Gewoehnliche Fichte;15,79;nicht Moor;;;;;;;;
30601;Gewoehnliche Fichte;14,67;nicht Moor;;;;;;;;
30601;Gewoehnliche Fichte;13,67;nicht Moor;;;;;;;;
